koi rprs secthresh maxrad lhood_heb pr_heb lhood_heb_Px2 pr_heb_Px2 lhood_eb pr_eb lhood_eb_Px2 pr_eb_Px2 lhood_beb pr_beb lhood_beb_Px2 pr_beb_Px2 lhood_boxy pr_boxy lhood_long pr_long lhood_pl pr_pl lhood_tot fp FPP
K00001.01 0.124 32 0.50 4.460e-03 6.600e-06 6.610e-01 3.780e-05 4.820e-01 4.880e-03 3.040e-01 1.570e-04 5.170e-08 1.840e-11 3.830e-20 8.430e-24 0.000e+00 0.000e+00 0.000e+00 0.000e+00 4.220e+01 9.950e-01 4.365e+01 0.073 5.080e-03
K00002.01 0.076 86 2.10 1.020e-14 1.390e-16 6.220e-16 6.180e-20 9.300e-05 4.840e-06 9.010e-06 6.590e-09 3.750e-130 1.360e-131 4.550e-94 7.560e-96 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.080e+01 1.000e+00 1.080e+01 0.057 4.840e-06
K00003.01 0.058 13 5.40 1.140e-23 1.660e-26 2.040e-12 2.310e-17 1.190e-20 6.290e-23 4.650e-16 1.210e-20 2.650e-18 2.410e-19 8.590e-34 7.230e-35 0.000e+00 0.000e+00 0.000e+00 0.000e+00 8.250e+01 1.000e+00 8.250e+01 0.085 0.000e+00
K00004.01 0.040 67 0.50 1.430e-47 1.610e-48 1.480e-05 7.480e-08 4.280e-01 5.560e-01 2.400e-02 1.430e-03 1.720e-02 2.400e-03 1.610e-15 1.560e-16 0.000e+00 0.000e+00 0.000e+00 0.000e+00 2.800e-01 4.400e-01 7.492e-01 0.051 5.600e-01
K00005.01 0.037 15 0.50 1.380e-02 2.850e-04 8.320e-02 5.110e-05 9.780e-01 1.450e-01 1.250e-01 6.460e-04 1.940e-03 9.300e-06 1.690e-08 8.330e-11 0.000e+00 0.000e+00 0.000e+00 0.000e+00 4.280e+00 8.540e-01 5.482e+00 0.052 1.460e-01
K00006.01 0.010 11 4.00 0.000e+00 0.000e+00 5.280e-130 1.110e-131 5.550e-11 2.530e-10 1.790e-05 1.090e-05 3.490e-58 2.740e-56 1.390e-36 7.670e-35 0.000e+00 0.000e+00 0.000e+00 0.000e+00 2.250e-02 1.000e+00 2.252e-02 0.133 1.090e-05
K00007.01 0.024 10 0.50 0.000e+00 0.000e+00 1.090e-135 9.320e-139 7.270e-09 2.150e-09 8.820e-03 2.250e-04 3.430e-66 2.540e-68 2.150e-42 1.560e-44 0.000e+00 0.000e+00 0.000e+00 0.000e+00 7.350e-01 1.000e+00 7.438e-01 0.101 2.250e-04
K00008.01 0.013 12 0.50 7.820e-79 7.890e-82 6.900e-28 6.440e-32 2.590e-05 2.700e-07 1.810e-02 2.940e-05 1.950e-04 8.340e-07 2.900e-13 9.550e-16 0.000e+00 0.000e+00 0.000e+00 0.000e+00 8.150e+00 1.000e+00 8.168e+00 0.143 3.050e-05
K00009.01 0.340 286 0.50 2.090e-193 3.140e-192 6.880e-23 7.250e-23 5.560e-35 1.140e-32 3.950e-02 5.340e-01 4.760e-02 2.540e-01 5.740e-02 2.110e-01 0.000e+00 0.000e+00 0.000e+00 0.000e+00 2.340e-29 1.170e-28 1.445e-01 0.001 1.000e+00
K00010.01 0.092 41 0.50 1.090e-289 1.580e-291 1.290e-60 1.020e-63 5.650e-04 8.460e-05 7.060e-05 7.520e-07 9.550e-03 3.710e-05 8.420e-27 2.720e-29 0.000e+00 0.000e+00 0.000e+00 0.000e+00 2.450e+00 1.000e+00 2.460e+00 0.078 1.220e-04
