,FPP,L_beb,L_beb_Px2,L_boxy,L_eb,L_eb_Px2,L_heb,L_heb_Px2,L_long,L_pl,fp,fpV,lhood_beb,lhood_beb_Px2,lhood_boxy,lhood_eb,lhood_eb_Px2,lhood_heb,lhood_heb_Px2,lhood_long,lhood_pl,pr_beb,pr_beb_Px2,pr_boxy,pr_eb,pr_eb_Px2,pr_heb,pr_heb_Px2,pr_long,pr_pl
K00001.01,0.00622,2.99461e-12,8.686493e-21,0.0,0.002316,0.0004824,0.0001453,1.7177e-05,0.0,0.4728,0.074,0.09251,1.98068e-08,8.521485e-17,0.0,0.6154,1.825,0.1863,0.668,0.0,43.49,6.25629e-12,1.8161038e-20,0.0,0.004865,0.0010141,0.0003056,3.623e-05,0.0,0.9939
K00002.01,1.1094e-10,3.16000000076e-111,1.78045760255e-83,0.0,5.26559e-12,1.5322e-11,3.36619e-14,1.122323e-16,0.0,0.185,0.057,1.259e-09,6.05000000146e-109,7.53192701074e-81,0.0,8.47941e-10,1.5069e-07,1.42858e-11,9.66835e-12,0.0,12.14,1.74000000041e-110,9.84243101422e-83,0.0,2.87339e-11,8.198e-11,1.82774e-13,6.15112e-16,0.0,1.0
K00003.01,5.44859753e-07,1.07150269e-11,3.470808e-10,,2.28220280891e-08,1.880203e-07,1.95003612763e-10,1.02e-10,,0.3858,0.083,9.05027488e-06,3.400008531e-10,1.1873713e-08,,9.3708342409e-06,0.0121013,2.62004843184e-07,1.48e-05,,64.7,2.77200693e-11,8.91653e-10,,5.9205357843e-08,4.840538e-07,5.08009361988e-10,2.71e-10,,1.0
K00004.01,0.01808,1.3211e-05,3.545022e-18,0.0,0.00021928,6.344e-06,0.00016935,2.8785e-07,0.0,0.02202,0.069,0.2517,0.021111,8.115337e-15,0.0,0.04613,0.02614,0.1287,0.005785,0.0,1.534,0.0005805,1.6121489e-16,0.0,0.009675,0.0002845,0.007533,1.2849e-05,0.0,0.982
K00005.01,0.21543,5.9094e-07,1.44522e-11,0.0,0.00292,3.2343e-05,0.0005463,1.33318e-06,0.0,0.018769,0.052,3.944,0.0031582,7.3251e-08,0.0,0.5551,0.23759,0.4828,0.04287052,0.0,2.3761,3.9495e-05,9.521e-10,0.0,0.17997,0.0026429,0.03291,4.76909e-05,0.0,0.7846
K00006.01,1.0,1.29335e-07,0.0010522,0.0,7.3808e-09,5.1603e-06,1.2539e-07,8.982e-07,0.0,1.4758e-24,0.001,2.037e+20,2.00401e-06,0.02539,0.0,4.721897e-06,0.011316,0.00022053,0.013231,0.0,3.772e-21,0.000122184,0.988,0.0,7.90206e-06,0.0100506,0.000180108,0.0015318,0.0,1.9642e-21
K00007.01,2.8119e-09,4.7085625132e-78,4.633085e-50,0.0,1.11336000671e-14,1.6288e-15,1.708700831e-14,4.4345e-13,0.0,0.0001939,0.098,5.4684e-08,4.9075955971e-74,5.216382e-46,0.0,3.3663300206e-12,1.019126e-11,2.733001361e-11,1.5665e-08,0.0,0.011642,2.61350825e-74,2.2265487e-46,0.0,6.1512500372e-11,7.71476e-12,9.04000429e-11,2.6521e-09,0.0,1.0
K00008.01,1.0,3.2015237e-08,0.0002765,0.0,7.092e-26,1.3273e-08,5.953e-15,3.825e-09,9.08e-08,1.17000079043e-82,0.211,8.7804161419e+92,2.38485204e-05,0.2957,0.0,2.52777e-23,2.5621e-05,1.2741e-11,4.357e-05,0.00182,2.43000164376e-81,0.000118707882,0.9997,0.0,2.9277e-22,5.334e-05,2.4274e-11,1.5091e-05,0.000361,4.53000356753e-79
K00009.01,0.3642,6.105e-06,2.4978e-09,0.0,0.00029074,4.412e-05,3.6683e-10,1.8472e-07,0.0,0.0005537,0.072,10.198,0.04111,2.5426e-05,0.0,0.04845,0.12649,3.12149e-07,0.0026145,0.0,0.05591,0.00681,2.5817e-06,0.0,0.30548,0.05171,4.1205e-07,0.00020829,0.0,0.6358
K00010.01,2.0674e-06,6.38287e-09,5.914816e-27,0.0,2.4479e-07,4.307e-09,8.599627e-10,7.245e-14,0.0,0.1249,0.061,2.5201e-05,6.32888e-05,7.065649e-23,0.0,5.5094e-05,1.3703e-05,9.852717e-07,1.1555e-09,0.0,12.63,5.03462e-08,4.750285e-26,0.0,1.9758e-06,3.454e-08,6.906498e-09,5.8202e-13,0.0,1.0
