,FPP,L_beb,L_beb_Px2,L_boxy,L_eb,L_eb_Px2,L_heb,L_heb_Px2,L_long,L_pl,fp,fpV,lhood_beb,lhood_beb_Px2,lhood_boxy,lhood_eb,lhood_eb_Px2,lhood_heb,lhood_heb_Px2,lhood_long,lhood_pl,pr_beb,pr_beb_Px2,pr_boxy,pr_eb,pr_eb_Px2,pr_heb,pr_heb_Px2,pr_long,pr_pl
K00001.01,0.000755975455216,3.76906068463e-12,5.59178781872e-21,0.0,0.000278096705802,0.000162029798357,2.93766725292e-05,5.54152004819e-06,0.0,0.0169708901096,1.46284727857e-17,0.0113184215625,2.48338452216e-08,5.49490692814e-17,0.0,0.0686216681037,0.615619796086,0.0355183833466,0.20173954606,0.0,1.55495623375,7.92206378063e-12,1.1380830908e-20,0.0,0.000700276929349,0.000325566668373,7.18114815951e-05,1.21366295889e-05,0.0,0.000816496580928
K00002.01,6.25096836587e-11,2.82343121642e-117,5.94389536678e-83,0.0,4.19085544766e-12,7.72816315965e-12,2.86358569326e-14,6.20021279022e-17,0.0,0.0056920997883,7.31423639287e-18,7.11803063354e-10,5.40656533309e-115,2.50718362566e-80,0.0,6.87457680638e-10,1.14604234942e-07,1.22698079146e-11,4.21722736699e-12,0.0,0.36209268304,1.50183529041e-116,3.16163900712e-82,0.0,2.28217850115e-11,4.27523442372e-11,1.49406603795e-13,3.3717863323e-16,0.0,0.0
K00003.01,1.5147198423e-06,9.85293912923e-12,4.91447151672e-10,,5.01300425963e-08,5.94501070842e-07,6.16642874387e-10,3.22552321337e-10,,0.00669659946872,1.46284727857e-17,2.51620919122e-05,3.12562917924e-10,1.68171273368e-08,,2.05800461334e-05,0.0382631031327,8.28515045309e-07,4.68017093705e-05,,1.10754984839,2.55159592331e-11,1.24983321362e-09,,1.3010562265e-07,1.53052349347e-06,1.60643376203e-09,8.56977245906e-10,,0.0
K00004.01,0.00723194303075,9.59463854915e-06,7.19801717219e-19,0.0,0.000146290768297,3.43607996932e-06,8.7881485852e-05,8.8295023139e-08,0.0,0.00123917535303,1.46284727857e-17,0.104009828595,0.0153330130764,1.65112690168e-15,0.0,0.0321372127672,0.0141033841487,0.0664968512204,0.00187429868366,0.0,0.0855050355892,0.000432855685471,3.0176374589e-17,0.0,0.00597959307423,0.000144568937804,0.00442435883616,3.89320776053e-06,0.0,0.00715619389837
K00005.01,0.0747554836339,3.25258939582e-07,5.21372180565e-12,0.0,0.00045639773103,1.85733650395e-05,7.64893601897e-05,1.89637924301e-06,0.0,0.00787991567919,0.0,1.30258077165,0.00172230756061,2.63445647989e-08,0.0,0.0827529119998,0.12556277757,0.0667307192295,0.0621033068452,0.0,0.997006770288,1.64996205007e-05,2.63581667926e-10,0.0,0.0589063333701,0.00115297952666,0.0154133455882,0.000168008047479,0.0,0.0747030417349
K00006.01,0.0,1.2479327306e-07,0.00110169979779,0.0,2.51048064404e-09,2.11708499803e-06,3.61040804711e-08,4.61328805373e-07,0.0,1.02913880394e-24,2.28569887277e-19,4.14627809541e+20,1.93466299919e-06,0.0265604154084,0.0,1.61458897264e-06,0.00362027024774,6.10623033376e-05,0.00659565513552,0.0,2.62980634902e-21,0.000104510306004,0.00416466618644,0.0,5.24270338313e-06,0.0036752759065,3.36792125799e-05,0.000588732168874,0.0,1.01246608174e-21
K00007.01,1.03494661698e-09,3.44306564007e-79,1.95454375348e-50,0.0,1.34561520195e-14,1.82215180276e-15,7.89993611029e-15,2.32825238227e-13,0.0,4.81948372062e-05,1.46284727857e-17,2.01737617271e-08,3.56642185941e-75,2.1908063801e-46,0.0,3.95919325205e-12,1.33263863581e-11,1.28262123778e-11,7.89735004782e-09,0.0,0.00289755471619,1.85864118046e-75,9.99093570065e-47,0.0,8.35895221775e-11,1.67204618368e-11,5.48366620504e-11,1.07974762483e-09,0.0,0.0
K00008.01,0.0,4.92121641769e-08,6.81847164367e-05,0.0,7.92842603072e-26,4.82099528682e-09,3.23610551263e-15,2.63871180692e-09,1.3950798784e-23,2.12187407304e-86,0.0,6.19608841266e+97,3.67375415931e-05,0.0739035407361,0.0,2.86873542167e-23,1.21487813746e-05,7.36744799778e-12,3.32300550038e-05,0.0,4.42715911454e-85,0.000147963403715,0.000516397779494,0.0,2.38766585937e-22,1.19011857486e-05,9.31117011384e-12,1.00598201884e-05,6.25314143273e-05,7.77913976327e-83
K00009.01,0.146839330184,2.0741051618e-06,1.37499164038e-09,0.0,0.000150749462501,1.49686190263e-05,3.29964970531e-10,1.72700887536e-07,0.0,0.000127858645908,1.46284727857e-17,5.42649477615,0.0140472852261,1.39413103162e-05,0.0,0.0241948020359,0.0489477374349,2.77962357364e-07,0.00280434070089,0.0,0.0129021789719,0.00210264938695,1.90348132524e-06,0.0,0.149960857485,0.0187163624196,5.38861862427e-07,0.000262496781144,0.0,0.146839330184
K00010.01,2.19522532379e-06,8.21983814202e-09,5.43471129324e-27,0.0,2.75948531634e-07,1.2069318309e-09,5.28165614704e-10,4.98068962762e-14,0.0,0.00311982905515,1.46284727857e-17,2.67604282685e-05,8.13168219572e-05,6.480203783e-23,0.0,6.17591033416e-05,5.35048492091e-06,6.08214115807e-07,9.9161060906e-10,0.0,0.309300285591,6.54674369617e-08,4.37192840308e-26,0.0,2.20594037645e-06,9.76856636815e-09,4.2448312635e-09,3.96783960249e-13,0.0,0.0
