,pp_host_prob_prov,pp_1hi_starid,pp_1hi_rel_prob,pp_2hi_rel_prob,pp_unk_rel_prob,pp_1hi_ra,pp_1hi_mod_depth,pp_2hi_starid,pp_host_rel_prob_err,pp_host_prob_score,pp_unk_rel_prob_err,pp_2hi_rel_prob_err,pp_1hi_rel_prob_err,pp_host_prior_prob,pp_koi_time0bk,pp_2hi_dec,pp_koi_period,pp_1hi_prob_prov,pp_dv_run_id,pp_host_rel_prob,pp_2hi_prob_prov,pp_bkgd_density,pp_1hi_dec,pp_2hi_mod_depth,pp_koi_depth,pp_2hi_ra,pp_1hi_kepmag,pp_2hi_kepmag
K00001.01,PROB,KIC 11446443,1.0,,9.977e-07,286.8085,99538.0,,0.028,1.0,2.379e-08,,0.028,0.92,132.6457,,2.47,KIC,dr25,1.0,,2.693e-06,49.3164,,14221.0,,11.34,
K00002.01,FAILED,,,,,,,,,0.0,,,,0.87,,,,,dr25,,,,,,,,,
K00003.01,FAILED,,,,,,,,,0.0,,,,0.8,,,,,dr25,,,,,,,,,
K00004.01,PROB,KIC 3861595,1.0,1.1e-101,1.178e-06,294.3566,9587.0,UKIRT 44117919246215,0.013,1.0,1.299e-08,1.2e-103,0.013,0.74,134.4299,38.9476,3.85,KIC,dr25,1.0,UKIRT,1.103e-05,38.9474,691575.0,1288.0,294.3577,11.43,16.0
K00005.01,PROB,hiresKIC 22000560,0.71,0.29,4.642e-07,289.7397,135367.0,KIC 8554498,0.0047,1.0,4.862e-09,0.0047,0.0089,0.87,132.974,44.6474,4.78,hiresKIC,dr25,0.29,KIC,4.475e-06,44.6474,8263.0,961.0,289.7397,14.7,11.66
K00005.02,PROB,KIC 8554482,2.2e-95,2.2e-95,1.0,289.7362,386314.0,KIC 8554485,3.2e-109,0.0,1.414e-14,3.2e-109,3.2e-109,0.87,133.2229,44.6505,7.05,KIC,dr25,2.2e-95,KIC,4.475e-06,44.6475,728969.0,0.0,289.7372,19.88,18.91
K00006.01,MATCH,,,,,,,,0.0,1.0,,,,0.72,,,,,dr25,0.0,,,,,,,,
K00007.01,PROB,KIC 11853905,1.0,1.1e-101,3.095e-07,285.6153,4654.0,KIC 11853909,0.011,1.0,3.025e-09,1e-103,0.011,0.93,133.2543,50.1374,3.21,KIC,dr25,1.0,KIC,2.935e-06,50.1358,1577301.0,726.0,285.6168,12.21,18.35
K00008.01,PROB,KIC 5903301,1.0,4.9e-89,2.114e-05,298.6583,105889.0,UKIRT 44117915207632,1.9e-102,1.0,3.211e-07,1.6e-89,0.018,0.67,132.1485,41.1383,1.16,KIC,dr25,1.2e-100,UKIRT,1.707e-05,41.1389,1293177.0,100.0,298.6587,15.15,19.02
K00009.01,PROB,KIC 11553711,1.0,4.1e-100,1.781e-05,288.8051,1531346.0,KIC 11553706,2e-101,1.0,8.905e-07,2e-101,0.058,0.91,135.0686,49.5308,3.72,KIC,dr25,4.1e-100,KIC,4.379e-06,49.5297,20987.0,2233.0,288.8038,17.45,13.12
K00010.01,PROB,KIC 6922244,1.0,,2.383e-07,281.2881,73636.0,,0.0011,1.0,2.353e-10,,0.0011,0.93,131.687,,3.52,KIC,dr25,1.0,,4.054e-06,42.4511,,9140.0,,13.56,
K00011.01,MATCH,KIC 11913073,3.4e-11,3.3e-81,1.0,291.0615,5220.0,KIC 11913066,7.7e-11,0.44,7.732e-11,1.5e-80,7.7e-11,0.89,134.1893,50.2675,3.75,KIC,dr25,3.4e-11,KIC,5.299e-06,50.2651,474377.0,481.0,291.0605,13.5,16.65
K00012.01,PROB,KIC 5812701,1.0,,4.279e-05,297.4537,72409.0,,0.063,1.0,2.336e-06,,0.063,0.7,146.5961,,17.86,KIC,dr25,1.0,,1.347e-05,41.011,,9196.0,,11.35,
K00013.01,FAILED,,,,,,,,,0.0,,,,0.91,,,,,dr25,,,,,,,,,
K00014.01,PROB,hiresKIC 22000462,0.94,0.044,0.0005447,292.6113,916618.0,UKIRT 44117912637748,0.0012,0.12,4.447e-05,0.0047,0.09,0.83,133.2161,43.3051,2.95,hiresKIC,dr25,0.0093,UKIRT,5.206e-06,43.3052,93568.0,403.0,292.6117,16.61,14.08
K00015.01,PROB,KIC 3964545,1.0,1.3e-101,1.482e-06,294.14,1566166.0,KIC 3964562,1.9e-103,1.0,2.226e-08,1.9e-103,0.017,0.75,132.247,39.0898,3.01,KIC,dr25,1.3e-101,KIC,1.174e-05,39.0899,11117.0,1096.0,294.1434,14.78,12.4
K00016.01,MATCH,KIC 9110357,7.7e-96,,1.0,298.3442,11427.0,,1.1e-109,1.0,1.414e-14,,1.1e-109,0.76,131.618,,0.9,KIC,dr25,7.7e-96,,1.297e-05,45.4099,,175.0,,13.57,
K00017.01,PROB,KIC 10874614,1.0,6.1e-102,5.334e-07,296.8372,80596.0,UKIRT 44117906048413,0.0026,1.0,1.191e-09,1.4e-104,0.0026,0.82,134.4253,48.2409,3.23,KIC,dr25,1.0,UKIRT,8.703e-06,48.2399,2989694.0,10562.0,296.8384,13.3,17.23
K00018.01,PROB,KIC 8191672,1.0,,9.051e-07,299.407,59606.0,,0.00042,1.0,3.258e-10,,0.00042,0.71,133.547,,3.55,KIC,dr25,1.0,,1.568e-05,44.0351,,7282.0,,13.37,
K00019.01,PROB,KIC 7255336,1.0,,4.568e-07,280.9438,20897.0,,0.021,1.0,8.153e-09,,0.021,0.93,131.5212,,1.2,KIC,dr25,1.0,,2.325e-06,42.8392,,2695.0,,11.37,
K00020.01,PROB,KIC 11804465,1.0,,2.302e-07,286.2434,107587.0,,0.00014,1.0,2.823e-11,,0.00014,0.93,135.5055,,4.44,KIC,dr25,1.0,,4.09e-06,50.0404,,16430.0,,13.44,
K00021.01,PROB,UKIRT 44117907047637,1.0,1.4e-65,4.128e-05,284.7393,282271.0,KIC 10125352,1.1e-65,1.0,1.861e-06,1.1e-65,0.052,0.93,134.8385,47.1696,4.29,UKIRT,dr25,1.4e-65,KIC,4.068e-06,47.1698,30712.0,3402.0,284.7386,15.75,13.4
K00022.01,PROB,KIC 9631995,1.0,,2.227e-07,282.6297,83069.0,,0.00073,1.0,1.408e-10,,0.00073,0.94,137.7928,,7.89,KIC,dr25,1.0,,3.816e-06,46.3234,,10367.0,,13.44,
K00023.01,PROB,KIC 9071386,1.0,,1.724e-07,283.1663,116170.0,,0.00048,1.0,7.171e-11,,0.00048,0.93,132.1697,,4.69,KIC,dr25,1.0,,3.008e-06,45.4031,,14341.0,,12.29,
K00024.01,PROB,KIC 4743508,1.0,1.5e-61,2.386e-06,290.8139,444225.0,KIC 4743513,5.2e-61,1.0,4.635e-08,5.2e-61,0.022,0.82,133.4187,39.8195,2.09,KIC,dr25,1.5e-61,KIC,8.194e-06,39.8191,36688.0,3409.0,290.8154,14.55,12.96
K00025.01,PROB,KIC 10593759,1.0,,3.002e-07,289.2616,75899.0,,0.0007,1.0,1.818e-10,,0.0007,0.9,132.8772,,3.13,KIC,dr25,1.0,,5.246e-06,47.8155,,9899.0,,13.5,
K00026.01,PROB,KIC 5021732,1.0,1.6e-101,1.806e-06,294.7312,607224.0,KIC 5021737,1.3e-103,1.0,1.479e-08,1.3e-103,0.0095,0.75,144.1372,40.1503,15.04,KIC,dr25,1.6e-101,KIC,1.107e-05,40.1505,55883.0,5736.0,294.7328,13.62,12.0
K00027.01,PROB,KIC 3832716,1.0,,3.409e-07,285.394,2122696.0,,0.0016,1.0,4.603e-10,,0.0016,0.88,131.5174,,1.14,KIC,dr25,1.0,,5.681e-06,38.9049,,296609.0,,13.42,
K00028.01,PROB,KIC 4247791,0.77,0.23,1.061e-06,287.1648,1021567.0,hiresKIC 22000114,0.015,1.0,1.749e-08,0.0075,0.015,0.87,133.2894,39.3771,2.05,KIC,dr25,0.77,hiresKIC,4.438e-06,39.3769,2535528.0,119646.0,287.1649,11.26,12.37
K00031.01,PROB,KIC 6956014,1.0,1.3e-99,8.862e-05,294.0318,1838.0,UKIRT 44117913330321,0.068,1.0,5.194e-06,7.3e-101,0.068,0.79,131.7512,42.4679,0.93,KIC,dr25,1.0,UKIRT,7.083e-06,42.4688,63574.0,257.0,294.034,10.79,14.01
K00033.01,PROB,KIC 5725087,1.0,5.1e-10,0.0001202,296.9679,1343.0,UKIRT 44117915409384,0.037,0.33,3.849e-06,7.8e-10,0.037,0.71,131.7267,40.9291,0.73,KIC,dr25,1.0,UKIRT,1.229e-05,40.9268,1161534.0,20.0,296.9677,11.06,17.55
K00041.01,PROB,hiresKIC 22000371,0.59,0.41,5.657e-05,291.3854,78438.0,KIC 6521045,0.023,0.78,2.502e-06,0.023,0.032,0.83,135.7632,41.9903,12.82,hiresKIC,dr25,0.41,KIC,5.826e-06,41.99,1447.0,221.0,291.386,15.54,11.2
K00041.02,PROB,KIC 6521045,0.86,0.14,4.963e-05,291.386,472.0,hiresKIC 22000371,0.018,0.88,9.216e-07,0.0081,0.018,0.83,133.1786,41.99,6.89,KIC,dr25,0.86,hiresKIC,5.826e-06,41.9903,25569.0,71.0,291.3854,11.2,15.54
K00041.03,PROB,hiresKIC 22000371,0.54,0.46,5.048e-05,291.3854,35411.0,KIC 6521045,0.0068,0.88,5e-07,0.0068,0.0063,0.83,153.9855,41.9903,35.33,hiresKIC,dr25,0.46,KIC,5.826e-06,41.99,653.0,97.0,291.386,15.54,11.2
K00042.01,FAILED,,,,,,,,,0.0,,,,0.93,,,,,dr25,,,,,,,,,
