koi mass mass_lo mass_hi radius radius_lo radius_hi Teff Teff_lo Teff_hi logg logg_lo logg_hi feh feh_lo feh_hi age age_lo age_hi distance distance_lo distance_hi AV AV_lo AV_hi maxAV Teff_prior_mu Teff_prior_sig logg_prior_mu logg_prior_sig feh_prior_mu feh_prior_sig
K00001.01 1.005 0.960 1.044 0.980 0.949 1.012 5836.840 5779.249 5899.508 4.456 4.433 4.480 -0.046 -0.153 0.061 9.553 9.336 9.690 202.991 196.135 210.309 0.070 0.025 0.128 0.196 5820 78.0 4.457 0.024 -0.06 0.15
K00002.01 1.454 1.408 1.509 1.951 1.856 2.054 6427.946 6364.431 6490.198 4.021 3.987 4.053 0.126 0.042 0.225 9.390 9.337 9.433 329.057 313.095 346.548 0.204 0.148 0.247 0.267 6440 76.0 4.019 0.033 0.14 0.15
K00003.01 0.807 0.791 0.821 0.742 0.729 0.758 4654.335 4618.918 4686.529 4.606 4.582 4.619 0.329 0.264 0.414 9.400 9.010 9.812 35.364 34.410 36.257 0.320 0.280 0.339 0.346 4778 86.0 4.591 0.015 0.32 0.15
K00004.01 1.431 1.247 1.579 1.998 1.465 2.441 6327.881 6247.302 6426.538 3.992 3.861 4.201 0.052 -0.007 0.141 9.417 9.314 9.498 506.760 373.298 618.431 0.084 0.030 0.158 0.668 6244 126.0 3.657 0.27 -0.16 0.2
K00005.01 1.243 1.165 1.341 1.815 1.718 1.914 5943.855 5873.743 6021.781 4.017 3.989 4.044 0.126 0.053 0.210 9.666 9.577 9.771 443.183 418.882 468.187 0.147 0.082 0.219 0.304 5937 83.0 4.012 0.03 0.16 0.1
K00006.01 1.311 1.213 1.448 1.601 1.319 2.035 6352.287 6292.759 6417.536 4.142 3.981 4.280 0.049 -0.043 0.137 9.439 9.343 9.492 586.865 484.213 742.304 0.026 0.007 0.060 0.686 6178 111.0 4.106 0.168 0.0 0.15
K00007.01 1.128 1.089 1.234 1.572 1.494 1.660 5864.164 5820.795 5910.735 4.103 4.071 4.134 0.155 0.061 0.230 9.813 9.683 9.866 501.006 475.906 530.240 0.033 0.010 0.073 0.135 5795 69.0 4.101 0.033 0.18 0.15
K00008.01 1.040 0.996 1.080 1.038 0.977 1.112 5924.892 5862.404 5997.944 4.422 4.363 4.474 -0.023 -0.127 0.073 9.546 9.198 9.733 372.682 350.195 400.434 0.060 0.019 0.123 0.886 5842 105.0 4.433 0.072 -0.1 0.15
K00009.01 1.143 1.062 1.268 1.236 1.072 1.597 6168.058 6073.044 6304.380 4.305 4.123 4.419 -0.005 -0.190 0.118 9.507 9.203 9.658 654.076 564.274 843.392 0.084 0.025 0.169 0.241 nan nan nan nan nan nan
K00010.01 1.228 1.165 1.293 1.483 1.373 1.605 6245.038 6163.033 6335.045 4.184 4.133 4.234 0.014 -0.076 0.105 9.545 9.478 9.609 977.238 900.642 1058.930 0.087 0.033 0.150 0.215 6225 112.0 4.169 0.055 -0.04 0.15
K00011.01 0.923 0.880 0.964 0.939 0.859 1.082 5530.135 5440.702 5614.486 4.454 4.339 4.535 0.036 -0.131 0.168 9.886 9.466 10.055 461.064 420.770 532.676 0.133 0.056 0.199 0.225 nan nan nan nan nan nan
K00012.01 1.386 1.326 1.421 1.383 1.330 1.424 6814.322 6757.997 6876.082 4.298 4.279 4.316 0.018 -0.079 0.112 8.800 8.569 9.031 370.894 357.567 382.670 0.174 0.123 0.231 0.865 6823 61.0 4.308 0.024 0.07 0.15
K00013.01 2.687 2.492 2.891 4.401 3.661 4.982 8503.553 8350.490 8655.310 3.583 3.500 3.709 -0.012 -0.054 0.126 8.670 8.599 8.742 912.890 758.137 1035.869 0.151 0.097 0.178 0.188 nan nan nan nan nan nan
K00014.01 0.176 0.119 0.367 0.198 0.138 0.357 3243.385 3185.486 3461.448 5.089 4.896 5.231 0.003 -0.171 0.151 9.882 9.457 10.088 2396.022 1657.751 2797.049 0.524 0.181 0.845 
