koi has_ttv
K00001.01 False 
K00002.01 False 
K00003.01 False 
K00004.01 False 
K00005.01 False 
K00006.01 True 
K00007.01 False 
K00008.01 True 
K00009.01 False 
K00010.01 False 
K00011.01 False 
K00012.01 False 
K00013.01 False 
K00014.01 nan
K00015.01 False 
K00016.01 False 
K00017.01 False 
K00018.01 False 
K00019.01 False 
K00020.01 False 
K00021.01 False 
K00022.01 False 
K00023.01 False 
K00024.01 False 
K00025.01 False 
K00026.01 False 
K00027.01 False 
K00028.01 False 
K00031.01 True 
K00033.01 True 
K00041.01 False 
K00041.02 False 
K00041.03 False 
K00042.01 True 
K00043.01 False 
K00044.01 False 
K00045.01 False 
K00046.01 False 
K00046.02 False 
K00048.01 True 
K00049.01 False 
K00051.01 False 
K00052.01 False 
K00053.01 False 
K00061.01 False 
K00063.01 False 
K00064.01 False 
K00066.01 False 
K00068.01 False 
K00069.01 False 
K00070.01 False 
K00070.02 False 
K00070.03 False 
K00070.04 False 
K00070.05 False 
K00072.01 False 
K00072.02 False 
K00074.01 False 
K00075.01 True 
K00076.01 False 
K00080.01 False 
K00081.01 False 
K00082.01 False 
K00082.02 False 
K00082.03 False 
K00082.04 False 
K00082.05 False 
K00082.06 False 
K00084.01 True 
K00085.01 False 
K00085.02 False 
K00085.03 False 
K00087.01 False 
K00088.01 False 
K00089.01 True 
K00089.02 True 
K00090.01 False 
K00092.01 False 
K00094.01 False 
K00094.02 True 
K00094.03 True 
K00094.04 True 
K00097.01 False 
K00098.01 False 
K00100.01 False 
K00102.01 False 
K00102.02 False 
K00103.01 True 
K00104.01 False 
K00105.01 False 
K00106.01 False 
K00107.01 False 
K00108.01 True 
K00108.02 True 
K00109.01 False 
K00110.01 False 
K00111.01 True 
K00111.02 True 
K00111.03 True 
K00112.01 False 
K00112.02 False 
K00114.01 False 
K00115.01 False 
K00115.02 False 
K00115.03 False 
K00116.01 False 
K00116.02 False 
K00116.03 False 
K00116.04 False 
K00117.01 False 
K00117.02 False 
K00117.03 False 
K00117.04 False 
K00118.01 False 
K00119.01 True 
K00119.02 True 
K00120.01 False 
K00121.01 False 
K00122.01 False 
K00123.01 False 
K00123.02 False 
K00124.01 False 
K00124.02 False 
K00125.01 False 
K00126.01 False 
K00126.02 False 
K00127.01 False 
K00128.01 False 
K00129.01 False 
K00130.01 False 
K00131.01 False 
K00132.01 False 
K00133.01 False 
K00134.01 True 
K00135.01 False 
K00136.01 False 
K00137.01 True 
K00137.02 True 
K00137.03 True 
K00138.01 False 
K00139.01 True 
K00139.02 True 
K00140.01 False 
K00141.01 False 
K00143.01 False 
K00144.01 False 
K00145.01 True 
K00146.01 False 
K00147.01 False 
K00148.01 True 
K00148.02 True 
K00148.03 True 
K00149.01 False 
K00150.01 False 
K00150.02 False 
K00151.01 False 
K00152.01 True 
K00152.02 True 
K00152.03 True 
K00152.04 True 
K00153.01 False 
K00153.02 False 
K00155.01 False 
K00156.01 True 
K00156.02 True 
K00156.03 True 
K00157.01 True 
K00157.02 True 
K00157.03 True 
K00157.04 True 
K00157.05 False 
K00157.06 True 
K00158.01 False 
K00159.01 False 
K00159.02 False 
K00160.01 False 
K00161.01 False 
K00162.01 False 
K00163.01 False 
K00164.01 False 
K00165.01 False 
K00166.01 False 
K00167.01 False 
K00168.01 True 
K00168.02 True 
K00168.03 True 
K00169.01 False 
K00170.01 False 
K00171.01 False 
K00171.02 False 
K00172.01 True 
K00172.02 True 
K00173.01 False 
K00174.01 False 
K00175.01 False 
K00176.01 False 
K00177.01 False 
K00178.01 False 
K00179.01 False 
K00179.02 False 
K00180.01 False 
K00181.01 False 
K00182.01 False 
K00183.01 False 
K00184.01 False 
K00185.01 False 
K00186.01 False 
K00187.01 False 
K00188.01 False 
K00189.01 False 
K00190.01 True 
K00191.01 False 
K00191.02 False 
K00191.03 False 
K00191.04 False 
K00192.01 False 
K00193.01 False 
K00194.01 False 
K00195.01 False 
K00196.01 False 
K00197.01 False 
K00198.01 False 
K00199.01 False 
K00199.02 False 
K00200.01 False 
K00201.01 False 
K00202.01 False 
K00203.01 False 
K00204.01 False 
K00205.01 False 
K00206.01 False 
K00208.01 False 
K00209.01 True 
K00209.02 True 
K00210.01 False 
K00211.01 False 
K00212.01 False 
K00213.01 False 
K00214.01 False 
K00215.01 False 
K00216.01 False 
K00216.02 False 
K00217.01 False 
K00218.01 False 
K00219.01 False 
K00220.01 False 
K00220.02 False 
K00221.01 False 
K00221.02 False 
K00222.01 False 
K00222.02 False 
K00223.01 False 
K00223.02 False 
K00224.01 False 
K00225.01 False 
K00226.01 True 
K00229.01 False 
K00230.01 False 
K00231.01 False 
K00232.01 True 
K00232.02 True 
K00232.03 True 
K00232.04 True 
K00232.05 True 
K00233.01 False 
K00234.01 False 
K00235.01 False 
K00236.01 False 
K00237.01 False 
K00238.01 False 
K00238.02 False 
K00238.03 False 
K00239.01 False 
K00239.02 False 
K00240.01 False 
K00241.01 False 
K00241.02 False 
K00241.03 False 
K00242.01 False 
K00243.01 False 
K00244.01 True 
K00244.02 True 
K00245.01 False 
K00245.02 False 
K00246.01 False 
K00246.02 False 
K00247.01 False 
K00248.01 True 
K00248.02 True 
K00248.03 True 
K00248.04 True 
K00249.01 False 
K00250.01 True 
K00250.02 True 
K00250.03 True 
K00250.04 True 
K00251.01 False 
K00251.02 False 
K00252.01 False 
K00253.01 False 
K00253.02 False 
K00254.01 False 
K00255.01 False 
K00255.02 False 
K00255.03 False 
K00256.01 False 
K00257.01 False 
K00258.01 False 
K00259.01 False 
K00260.01 False 
K00260.02 False 
K00260.03 False 
K00261.01 False 
K00262.01 True 
K00262.02 True 
K00263.01 False 
K00264.01 False 
K00265.01 False 
K00266.01 False 
K00266.02 False 
K00268.01 False 
K00269.01 False 
K00270.01 True 
K00270.02 True 
K00271.01 True 
K00271.02 True 
K00271.03 True 
K00272.01 True 
K00273.01 False 
K00274.01 True 
K00274.02 True 
K00275.01 True 
K00275.02 True 
K00276.01 False 
K00277.01 True 
K00277.02 True 
K00279.01 False 
K00279.02 False 
K00279.03 False 
K00280.01 False 
K00281.01 False 
K00282.01 False 
K00282.02 False 
K00282.03 False 
K00283.01 False 
K00283.02 False 
K00284.01 False 
K00284.02 False 
K00284.03 False 
K00284.04 False 
K00285.01 False 
K00285.02 False 
K00285.03 False 
K00286.01 False 
K00287.01 False 
K00288.01 False 
K00289.01 False 
K00289.02 False 
K00290.01 False 
K00291.01 False 
K00291.02 False 
K00292.01 False 
K00293.01 False 
K00294.01 False 
K00295.01 False 
K00295.02 False 
K00296.01 False 
K00297.01 False 
K00298.01 False 
K00298.02 False 
K00299.01 False 
K00300.01 False 
K00301.01 False 
K00301.02 False 
K00302.01 False 
K00303.01 False 
K00304.01 False 
K00304.02 False 
K00305.01 False 
K00306.01 False 
K00307.01 False 
K00307.02 False 
K00308.01 True 
K00309.01 False 
K00312.01 True 
K00312.02 True 
K00313.01 False 
K00313.02 False 
K00314.01 True 
K00314.02 True 
K00314.03 True 
K00315.01 True 
K00316.01 True 
K00316.02 True 
K00316.03 True 
K00317.01 False 
K00317.02 False 
K00318.01 True 
K00319.01 True 
K00320.01 False 
K00321.01 False 
K00321.02 False 
K00322.01 nan
K00323.01 False 
K00324.01 False 
K00325.01 False 
K00326.01 False 
K00326.02 False 
K00327.01 False 
K00327.02 False 
K00328.01 False 
K00329.01 False 
K00330.01 False 
K00330.02 False 
K00331.01 False 
K00331.02 False 
K00332.01 False 
K00332.02 False 
K00333.01 False 
K00334.01 False 
K00335.01 True 
K00336.01 False 
K00337.01 False 
K00338.01 False 
K00338.02 False 
K00339.01 False 
K00339.02 False 
K00339.03 False 
K00340.01 False 
K00341.01 True 
K00341.02 True 
K00343.01 False 
K00343.02 False 
K00343.03 False 
K00344.01 False 
K00345.01 True 
K00346.01 False 
K00347.01 False 
K00348.01 False 
K00349.01 False 
K00350.01 True 
K00351.01 True 
K00351.02 True 
K00351.03 True 
K00351.04 True 
K00351.05 True 
K00351.06 False 
K00351.07 True 
K00352.01 False 
K00352.02 False 
K00353.01 False 
K00353.02 False 
K00353.03 False 
K00354.01 False 
K00354.02 False 
K00355.01 False 
K00356.01 False 
K00358.01 False 
K00359.01 False 
K00360.01 False 
K00361.01 False 
K00362.01 False 
K00363.01 False 
K00365.01 False 
K00366.01 True 
K00367.01 False 
K00368.01 False 
K00369.01 False 
K00369.02 False 
K00370.01 False 
K00370.02 False 
K00371.01 False 
K00372.01 True 
K00373.01 False 
K00374.01 True 
K00376.01 True 
K00376.02 True 
K00377.01 True 
K00378.01 False 
K00379.01 False 
K00379.02 False 
K00380.01 False 
K00381.01 False 
K00382.01 False 
K00384.01 False 
K00385.01 False 
K00386.01 False 
K00386.02 False 
K00387.01 False 
K00388.01 False 
K00389.01 False 
K00390.01 False 
K00391.01 False 
K00392.01 False 
K00392.02 False 
K00393.01 False 
K00394.01 False 
K00395.01 False 
K00396.01 False 
K00397.01 False 
K00398.01 False 
K00398.02 False 
K00398.03 False 
K00399.01 True 
K00400.01 False 
K00401.01 False 
K00401.02 False 
K00401.03 False 
K00402.01 False 
K00403.01 False 
K00404.01 False 
K00405.01 True 
K00406.01 nan
K00407.01 False 
K00408.01 False 
K00408.02 False 
K00408.03 False 
K00408.04 False 
K00408.05 False 
K00409.01 False 
K00410.01 True 
K00411.01 False 
K00412.01 False 
K00413.01 False 
K00413.02 False 
K00414.01 False 
K00414.02 False 
K00415.01 False 
K00416.01 False 
K00416.02 False 
K00416.03 False 
K00417.01 False 
K00418.01 False 
K00419.01 False 
K00420.01 False 
K00421.01 False 
K00422.01 False 
K00423.01 False 
K00424.01 False 
K00425.01 False 
K00426.01 False 
K00427.01 True 
K00427.02 True 
K00427.03 True 
K00428.01 False 
K00429.01 False 
K00430.01 False 
K00430.02 False 
K00431.01 False 
K00431.02 False 
K00432.01 False 
K00433.01 False 
K00433.02 False 
K00434.01 False 
K00435.01 False 
K00435.03 False 
K00435.04 False 
K00435.05 False 
K00435.06 False 
K00436.01 False 
K00437.01 False 
K00438.01 False 
K00438.02 False 
K00439.01 False 
K00440.01 False 
K00440.02 False 
K00441.01 False 
K00442.01 False 
K00442.02 False 
K00442.03 False 
K00443.01 False 
K00444.01 False 
K00446.01 False 
K00446.02 False 
K00447.01 False 
K00448.01 True 
K00448.02 True 
K00449.01 False 
K00450.01 False 
K00451.01 False 
K00452.01 False 
K00453.01 False 
K00454.01 False 
K00455.01 False 
K00456.01 True 
K00456.02 True 
K00457.01 True 
K00457.02 True 
K00458.01 False 
K00459.01 False 
K00459.02 False 
K00460.01 False 
K00461.01 False 
K00462.01 False 
K00463.01 False 
K00464.01 True 
K00464.02 True 
K00466.01 False 
K00467.01 False 
K00468.01 False 
K00469.01 False 
K00470.01 False 
K00471.01 False 
K00471.02 False 
K00472.01 False 
K00473.01 True 
K00474.01 False 
K00474.02 False 
K00474.03 False 
K00474.04 False 
K00475.01 False 
K00475.02 False 
K00476.01 False 
