koi rprs secthresh maxrad pr_heb pr_heb_Px2 pr_eb pr_eb_Px2 pr_beb pr_beb_Px2 L_tot fp FPP
K00001.01 0.124 20 0.50 nan nan nan nan nan nan nan nan nan 
K00002.01 0.075 96 1.95 nan nan nan nan nan nan nan nan nan 
K00003.01 0.058 11 4.50 nan nan nan nan nan nan nan nan nan 
K00004.01 0.040 66 0.50 nan nan nan nan nan nan nan nan nan 
K00005.01 0.037 15 0.50 nan nan nan nan nan nan nan nan nan 
K00006.01 0.294 22 4.00 nan nan nan nan nan nan nan nan nan 
K00007.01 0.025 12 0.50 nan nan nan nan nan nan nan nan nan 
K00008.01 0.019 27 0.50 nan nan nan nan nan nan nan nan nan 
K00009.01 0.071 422 0.50 nan nan nan nan nan nan nan nan nan 
K00010.01 0.094 42 0.50 nan nan nan nan nan nan nan nan nan 
K00011.01 0.116 186 2.73 nan nan nan nan nan nan nan nan nan 
K00012.01 0.088 209 0.96 nan nan nan nan nan nan nan nan nan 
K00013.01 0.078 139 2.82 nan nan nan nan nan nan nan nan nan 
K00014.01 0.024 79 0.90 nan nan nan nan nan nan nan nan nan 
K00015.01 0.449 383 0.50 nan nan nan nan nan nan nan nan nan 
K00016.01 0.035 52 0.50 nan nan nan nan nan nan nan nan nan 
K00017.01 0.095 28 0.50 nan nan nan nan nan nan nan nan nan 
K00018.01 0.080 29 0.50 nan nan nan nan nan nan nan nan nan 
K00019.01 0.225 170 0.50 nan nan nan nan nan nan nan nan nan 
K00020.01 0.118 43 0.50 nan nan nan nan nan nan nan nan nan 
K00021.01 0.253 302 0.50 nan nan nan nan nan nan nan nan nan 
K00022.01 0.094 27 0.50 nan nan nan nan nan nan nan nan nan 
K00023.01 0.111 308 0.50 nan nan nan nan nan nan nan nan nan 
K00024.01 0.076 362 0.50 nan nan nan nan nan nan nan nan nan 
K00025.01 0.174 43 0.50 nan nan nan nan nan nan nan nan nan 
K00026.01 0.082 5594 0.50 nan nan nan nan nan nan nan nan nan 
K00027.01 0.771 133450 0.50 nan nan nan nan nan nan nan nan nan 
K00028.01 0.504 166 0.50 nan nan nan nan nan nan nan nan nan 
K00031.01 0.017 42 0.50 nan nan nan nan nan nan nan nan nan 
K00041.01 0.014 13 1.65 nan nan nan nan nan nan nan nan nan 
K00041.02 0.008 10 1.86 nan nan nan nan nan nan nan nan nan 
K00041.03 0.009 28 2.61 nan nan nan nan nan nan nan nan nan 
K00042.01 0.017 18 2.43 nan nan nan nan nan nan nan nan nan 
K00043.01 nan nan nan nan nan nan nan nan nan nan nan nan 
K00044.01 0.104 573 0.50 nan nan nan nan nan nan nan nan nan 
K00045.01 0.128 1540 1.35 nan nan nan nan nan nan nan nan nan 
K00046.01 0.033 22 0.50 nan nan nan nan nan nan nan nan nan 
K00046.02 0.007 37 3.60 nan nan nan nan nan nan nan nan nan 
K00048.01 0.982 112 0.50 nan nan nan nan nan nan nan nan nan 
K00049.01 0.026 52 0.50 nan nan nan nan nan nan nan nan nan 
K00051.01 0.456 305 0.66 nan nan nan nan nan nan nan nan nan 
K00052.01 0.198 1899 0.50 nan nan nan nan nan nan nan nan nan 
K00053.01 0.105 915 0.50 nan nan nan nan nan nan nan nan nan 
K00061.01 0.196 16 0.50 nan nan nan nan nan nan nan nan nan 
K00063.01 0.058 38 0.50 nan nan nan nan nan nan nan nan nan 
K00064.01 0.039 74 0.50 nan nan nan nan nan nan nan nan nan 
K00069.01 0.016 6 3.60 nan nan nan nan nan nan nan nan nan 
K00070.01 0.030 37 0.50 nan nan nan nan nan nan nan nan nan 
K00070.02 0.021 27 0.50 nan nan nan nan nan nan nan nan nan 
K00070.03 0.026 70 0.54 nan nan nan nan nan nan nan nan nan 
K00070.04 0.008 26 0.90 nan nan nan nan nan nan nan nan nan 
K00070.05 0.010 47 2.46 nan nan nan nan nan nan nan nan nan 
K00072.01 0.013 11 1.53 nan nan nan nan nan nan nan nan nan 
K00072.02 0.020 25 1.77 nan nan nan nan nan nan nan nan nan 
K00074.01 0.021 490 1.62 nan nan nan nan nan nan nan nan nan 
K00075.01 0.038 43 2.37 nan nan nan nan nan nan nan nan nan 
K00076.01 0.033 377 1.80 nan nan nan nan nan nan nan nan nan 
K00080.01 nan nan nan nan nan nan nan nan nan nan nan nan 
K00081.01 0.037 45 1.29 nan nan nan nan nan nan nan nan nan 
K00082.01 0.031 27 0.50 nan nan nan nan nan nan nan nan nan 
K00082.02 0.017 19 0.50 nan nan nan nan nan nan nan nan nan 
K00082.03 0.010 33 2.85 nan nan nan nan nan nan nan nan nan 
K00082.04 0.007 15 0.93 nan nan nan nan nan nan nan nan nan 
K00082.05 0.006 14 1.56 nan nan nan nan nan nan nan nan nan 
K00084.01 0.024 19 0.50 nan nan nan nan nan nan nan nan nan 
K00085.01 0.016 8 1.35 nan nan nan nan nan nan nan nan nan 
K00085.02 0.010 5 1.71 nan nan nan nan nan nan nan nan nan 
K00085.03 0.011 10 1.80 nan nan nan nan nan nan nan nan nan 
K00087.01 0.020 98 1.02 nan nan nan nan nan nan nan nan nan 
K00088.01 0.026 13 0.50 nan nan nan nan nan nan nan nan nan 
K00089.01 0.017 34 0.75 nan nan nan nan nan nan nan nan nan 
K00089.02 0.021 68 1.05 nan nan nan nan nan nan nan nan nan 
K00090.01 0.022 19 0.50 nan nan nan nan nan nan nan nan nan 
K00092.01 0.024 49 0.57 nan nan nan nan nan nan nan nan nan 
K00094.01 0.069 44 0.50 nan nan nan nan nan nan nan nan nan 
K00094.02 0.026 26 0.57 nan nan nan nan nan nan nan nan nan 
K00094.03 0.041 72 2.58 nan nan nan nan nan nan nan nan nan 
K00094.04 0.011 18 0.72 nan nan nan nan nan nan nan nan nan 
K00097.01 0.081 54 0.50 nan nan nan nan nan nan nan nan nan 
