koi,koi,rprs,secthresh,maxrad,lhood_heb,pr_heb,lhood_heb_Px2,pr_heb_Px2,lhood_eb,pr_eb,lhood_eb_Px2,pr_eb_Px2,lhood_beb,pr_beb,lhood_beb_Px2,pr_beb_Px2,lhood_boxy,pr_boxy,lhood_long,pr_long,lhood_pl,pr_pl,lhood_tot,fp,FPP,kepid,period,rp,disposition,prob_ontarget,pos_prob_score,not_transitlike,significant_secondary,centroid_offset,ephem_match,MES,exception,has_ttv,n_cands
K00001.01,K00001.01,0.124,32.0,0.5,1.55,0.00344,0.614,3.22e-05,0.705,0.00614,0.837,0.000293,3.8e-10,1.36e-13,8.73e-18,1.87e-21,0.0,0.0,0.0,0.0,42.4,0.99,46.11,0.073,0.0099,11446443.0,2.470613385,13.2512276565,CONFIRMED,1.0,1.0,False,False,False,False,7825.785,,False,1.0
K00002.01,K00002.01,0.076,86.0,2.1,0.000325,3.82e-06,7.73e-05,6.68e-09,3.01e-10,9.75e-12,5.82e-09,3.69e-12,1.49e-125,5.57e-127,4.45e-95,7.7e-97,0.0,0.0,0.0,0.0,10.4,1.0,10.4,0.057,3.83e-06,10666592.0,2.204735365,16.168853127,CONFIRMED,,0.0,False,True,False,False,3946.296,,False,1.0
K00003.01,K00003.01,0.058,13.0,5.4,1.27e-09,2.62e-12,5.77e-09,5.83e-14,4.78e-21,3.24e-23,2.91e-19,9.9e-24,1.19e-18,1.4e-19,2.87e-41,3.15e-42,0.0,0.0,0.0,0.0,64.1,1.0,64.1,0.084,2.68e-12,10748390.0,4.887802706,4.69288868848,CONFIRMED,,0.0,False,False,False,False,2375.858,,False,1.0
K00004.01,K00004.01,0.04,67.0,0.5,0.0299,0.00255,0.0635,0.000118,0.0896,0.025,0.0198,0.000206,0.0128,0.000449,1.69e-15,4.11e-17,0.0,0.0,0.0,0.0,1.56,0.972,1.776,0.06,0.0283,3861595.0,3.849371501,8.71492852457,CANDIDATE,1.0,1.0,False,True,False,False,238.24734,,False,1.0
K00005.01,K00005.01,0.037,15.0,0.5,0.44,0.0205,2.13e-05,1.38e-08,0.719,0.135,0.57,0.00227,0.04,0.000255,1.26e-08,8.32e-11,0.0,0.0,0.0,0.0,3.15,0.841,4.919,0.052,0.159,8554498.0,4.780327766,7.32296077412,CANDIDATE,0.29,1.0,False,False,False,False,386.6764,,False,1.0
K00006.01,K00006.01,0.01,11.0,4.0,3.22e-07,2.74e-07,0.000126,1.26e-05,9.7e-09,3.15e-08,6.83e-09,4.86e-09,1.31e-52,1.92e-50,2.27e-42,2.34e-40,0.0,0.0,0.0,0.0,0.00661,1.0,0.006736,0.19,1.29e-05,3248033.0,1.334104268,1.74582089187,FALSE POSITIVE,0.0,1.0,False,False,True,True,49.141636,,True,1.0
K00007.01,K00007.01,0.024,10.0,0.5,5.09e-07,1.02e-07,4.91e-06,3.47e-08,1.1e-11,9.56e-12,1.12e-10,6.36e-12,7.59e-64,1.69e-65,2.25e-31,4.82e-33,0.0,0.0,0.0,0.0,0.247,1.0,0.247,0.097,1.37e-07,11853905.0,3.213668628,4.11407436655,CONFIRMED,1.0,1.0,False,False,False,False,311.06277,,False,1.0
K00008.01,K00008.01,0.013,12.0,0.5,3.39e-05,7.21e-08,0.113,1.91e-05,1.17e-05,1.17e-07,0.0873,0.000123,0.000217,9.99e-07,8.69e-11,3.1e-13,0.0,0.0,0.0,0.0,7.32,1.0,7.521,0.144,0.000143,5903312.0,1.160153243,1.47146203091,FALSE POSITIVE,1.2e-100,1.0,False,False,True,True,43.115734,,True,1.0
K00009.01,K00009.01,0.34,286.0,0.5,1.28e-05,0.00018,0.0364,0.0237,0.00333,0.222,0.114,0.54,0.0583,0.111,0.0761,0.0966,0.0,0.0,0.0,0.0,0.00307,0.0069,0.2912,0.001,0.993,11553706.0,3.719807963,45.8253448845,FALSE POSITIVE,4.1e-100,1.0,False,True,True,False,793.4751,,False,1.0
K00010.01,K00010.01,0.092,41.0,0.5,0.0813,0.000631,0.00687,2.19e-06,1.42e-05,4.95e-07,5.31e-06,1.28e-08,0.000388,2.86e-07,3.84e-22,2.39e-25,0.0,0.0,0.0,0.0,13.3,0.999,13.39,0.063,0.000634,6922244.0,3.522498573,14.8777526048,CONFIRMED,1.0,1.0,False,False,False,False,1792.6439,,False,1.0
K00011.01,K00011.01,0.151,133.0,2.76,2.12e-49,4.16e-47,1.47e-07,8.01e-07,2.34e-44,2.07e-41,1.07e-08,6.96e-07,0.000623,0.599,0.000442,0.296,0.0,0.0,0.00846,0.105,4e-44,6.57e-41,0.009525,0.056,1.0,11913073.0,3.747839179,15.4614739811,FALSE POSITIVE,3.4e-11,0.44,False,True,True,True,124.0117,,False,1.0
K00012.01,K00012.01,0.088,203.0,0.93,1.49e-07,5.3e-07,1.42e-15,1.65e-17,4.33e-29,5.03e-28,3.2e-31,1.83e-32,9.28e-24,4.37e-23,7.79e-26,2.21e-25,0.0,0.0,0.0,0.0,0.0998,1.0,0.0998,0.073,5.3e-07,5812701.0,17.855219698,13.2712920565,CONFIRMED,1.0,1.0,False,False,False,False,558.2411,,False,1.0
K00013.01,K00013.01,0.065,141.0,2.79,0.00219,0.0152,1.88e-05,1.67e-06,0.00518,0.135,3.16e-11,2.21e-11,8.13e-79,5.71e-77,6.81e-96,2.2e-94,0.0,0.0,0.0,0.0,0.144,0.849,0.1514,0.002,0.151,9941662.0,1.763587569,31.1941444993,CONFIRMED,,0.0,False,True,False,False,5258.234,,False,1.0
K00014.01,K00014.01,,,,,,,,,,,,,,,,,,,,,,,,,7684873.0,2.947375658,,FALSE POSITIVE,0.0093,0.12,False,True,False,False,338.54346,BadRoweFitError,,1.0
K00015.01,K00015.01,0.294,172.0,0.5,0.0223,0.0136,0.0957,0.00143,0.319,0.784,0.603,0.0968,0.334,0.0866,0.0978,0.015,0.0,0.0,0.0,0.0,0.0216,0.00229,1.493,0.001,0.998,3964562.0,3.012476803,,FALSE POSITIVE,1.3e-101,1.0,False,True,True,True,568.90375,,False,1.0
K00016.01,K00016.01,0.026,37.0,0.5,9.54e-12,5.72e-14,1.22e-05,9.43e-09,7.54e-07,8.81e-09,2.86e-05,1.04e-07,6.41e-06,5.27e-08,3.28e-41,1.65e-43,0.0,0.0,0.0,0.0,3.9,1.0,3.9,0.051,1.75e-07,9110357.0,0.895278174,,FALSE POSITIVE,7.7e-96,1.0,False,False,True,True,395.62955,,False,1.0
K00017.01,K00017.01,0.093,27.0,0.5,0.28,0.000524,5.39e-06,2.82e-10,1.85e-09,1.45e-11,3.6e-09,1.56e-12,1.89e-16,7.31e-20,8.72e-33,2.86e-36,0.0,0.0,0.0,0.0,39.3,0.999,39.58,0.075,0.000524,10874614.0,3.234699312,,CONFIRMED,1.0,1.0,False,False,False,False,3100.344,,False,1.0
K00018.01,K00018.01,0.078,30.0,0.5,0.056,0.000361,3.58e-08,5.09e-12,7.89e-09,2.15e-10,5.04e-13,6.39e-16,6.49e-72,1.4e-74,6.93e-47,1.11e-49,0.0,0.0,0.0,0.0,17.3,1.0,17.36,0.062,0.000361,8191672.0,3.548465405,,CONFIRMED,1.0,1.0,False,True,False,False,2373.4998,,False,1.0
K00019.01,K00019.01,0.334,149.0,0.5,0.1,0.0271,1.4,0.0399,0.141,0.193,3.04,0.647,0.607,0.0827,0.00944,0.000701,0.0,0.0,0.0,0.0,0.0573,0.00945,5.355,0.001,0.991,7255336.0,1.203200978,,CANDIDATE,1.0,1.0,False,False,False,False,1541.1348,,False,1.0
K00020.01,K00020.01,0.117,38.0,0.5,0.11,0.00454,2.89e-07,2.7e-10,4.66e-11,7.75e-12,1.3e-14,8.11e-17,4.49e-46,1.1e-48,9.43e-42,2.13e-44,0.0,0.0,0.0,0.0,4.82,0.995,4.93,0.054,0.00454,11804465.0,4.43796303,,CONFIRMED,1.0,1.0,False,True,False,False,3401.3093,,False,1.0
K00021.01,K00021.01,0.35,265.0,0.5,0.318,0.0127,0.306,0.000427,5.05,0.959,1.87,0.0236,0.845,0.00394,0.0183,6.53e-05,0.0,0.0,0.0,0.0,0.0915,0.000423,8.499,0.001,1.0,10125352.0,4.288515363,,FALSE POSITIVE,1.4e-65,1.0,False,True,True,False,607.1716,,False,1.0
K00022.01,K00022.01,0.093,25.0,0.5,0.141,0.00458,5.86e-05,1.57e-08,1.97e-07,2.61e-08,0.00302,6.54e-06,3.35e-06,2.58e-09,6.31e-38,4.21e-41,0.0,0.0,0.0,0.0,10.4,0.995,10.54,0.077,0.00459,9631995.0,7.891448474,,CONFIRMED,1.0,1.0,False,False,False,False,1977.3019,,False,1.0
K00023.01,K00023.01,0.111,268.0,0.5,0.172,0.0141,5.94e-07,6.39e-10,0.253,0.0981,8.46e-14,5.33e-16,6.01e-67,4.39e-69,1.59e-40,7.18e-43,0.0,0.0,0.0,0.0,2.91,0.888,3.335,0.045,0.112,9071386.0,4.693305532,,FALSE POSITIVE,1.0,1.0,False,True,False,False,3044.1802,,False,1.0
K00024.01,K00024.01,0.067,201.0,0.5,0.0115,0.00259,0.0464,0.000119,0.0849,0.0716,0.2,0.00425,0.377,0.0159,2.37e-13,4.52e-15,0.0,0.0,0.0,0.0,0.834,0.905,1.554,0.063,0.0945,4743513.0,2.086076093,,FALSE POSITIVE,1.5e-61,1.0,False,True,True,True,1416.1915,,False,1.0
K00025.01,K00025.01,0.378,42.0,0.5,0.0941,0.0317,0.539,0.00669,0.44,0.675,1.75,0.227,0.00701,0.000328,0.00251,0.000102,0.0,0.0,0.0,0.0,0.825,0.0595,3.658,0.001,0.941,10593759.0,3.13260497,,CANDIDATE,1.0,1.0,False,False,False,False,1599.2949,,False,1.0
K00026.01,K00026.01,0.079,5155.0,0.5,0.0134,0.0173,0.0477,0.000145,0.0182,0.131,0.03,0.000898,0.0218,0.00305,8.89e-10,6.72e-11,0.0,0.0,0.0,0.0,0.45,0.848,0.5811,0.06,0.152,5021737.0,15.03946291,,FALSE POSITIVE,1.6e-101,1.0,False,True,False,True,1241.0057,,False,1.0
K00027.01,K00027.01,0.593,126996.0,0.5,1.9e-10,3.51e-10,0.745,0.00541,4.66e-11,3.5e-10,0.813,0.04,8.94e-20,5.82e-21,4.26e-07,1.3e-08,0.0,0.0,0.0,0.0,23.3,0.955,24.86,0.001,0.0454,3832716.0,1.141876914,,FALSE POSITIVE,1.0,1.0,False,True,False,False,6998.577,,False,1.0
K00028.01,K00028.01,0.5,720.0,0.5,0.055,0.767,2.03e-15,2.5e-16,4.63e-25,3.16e-23,0.0932,0.0811,2.23e-14,3.87e-14,2.22e-20,2.1e-20,0.0,0.0,0.00905,0.00278,0.133,0.149,0.2903,0.001,0.851,4247791.0,4.100870444,,FALSE POSITIVE,0.77,1.0,False,True,False,False,15073.241,,False,1.0
K00031.01,K00031.01,0.019,22.0,0.5,,,,,,,,,,,,,,,,,,,,,,6956014.0,0.925588053,,FALSE POSITIVE,1.0,1.0,False,True,False,False,185.91115,AllWithinRocheError,True,1.0
