koi,koi.1,rprs,secthresh,maxrad,lhood_heb,pr_heb,lhood_heb_Px2,pr_heb_Px2,lhood_eb,pr_eb,lhood_eb_Px2,pr_eb_Px2,lhood_beb,pr_beb,lhood_beb_Px2,pr_beb_Px2,lhood_boxy,pr_boxy,lhood_long,pr_long,lhood_pl,pr_pl,lhood_tot,fp,FPP,kepid,period,rp,disposition,prob_ontarget,pos_prob_score,not_transitlike,significant_secondary,centroid_offset,ephem_match,MES,exception,has_ttv,n_cands,FPP_max,FPP_std,kepnum
K00049.01,K00049.01,0.026,52.0,0.5,5.56011e-22,5.09973e-24,8.8986e-11,8.9856e-15,1.87442e-43,5.08928e-45,6.56541000015e-21,1.41510000003e-24,0.000158477,1.63292e-07,1.268497269e-09,1.094540425e-12,0.0,0.0,0.0,0.0,13.79,1.0,13.9,0.207,1.63293e-07,9527334,8.313783059,2.57718494432,CANDIDATE,1.0,1.0,False,False,False,False,93.3027,,False,1,3.84e-07,1.60254216519e-07,Kepler-461 b
K00089.01,K00089.01,0.017,34.0,0.75,2.04887e-07,1.39197e-06,6.69660468215e-36,1.53565837562e-37,7.136e-10,1.9199e-08,8.22392625392e-55,4.78055795403e-56,7.44000080106e-27,2.48060024633e-26,2.65369300003e-18,3.09912500004e-18,0.000292,9.347e-05,0.0,0.0,0.04846,1.0,0.04869,0.112,9.488e-05,8056665,84.6879808,3.77243433818,CANDIDATE,1.0,1.0,False,False,False,False,71.36428,,True,2,0.000103,3.95243947174e-06,Kepler-462 b
K00105.01,K00105.01,0.031,27.0,0.5,0.07873,0.0010468,0.000438811,5.05337e-08,0.13396,0.006855,3.4032e-07,1.7844e-10,0.0008325,2.4206e-06,2.213e-10,4.7548e-13,0.0,0.0,0.0,0.0,12.05,0.9921,12.2,0.185,0.007908,8711794,8.981016833,3.0525149423,CANDIDATE,1.0,1.0,False,False,False,False,197.65842,,False,1,0.0103,0.00136691705023,Kepler-463 b
K00107.01,K00107.01,0.019,21.0,0.5,1.038000509e-15,2.36740115e-17,7.1635e-08,2.47894e-11,3.9727e-09,3.6425e-10,2.541e-16,2.9611e-19,8.9572e-27,1.8273e-29,1.07447700001e-40,1.56376900002e-43,0.0,0.0,0.0,0.0,4.821,1.0,4.85,0.161,3.8857e-10,11250587,7.256965224,3.3046284902,CANDIDATE,1.0,1.0,False,False,False,False,113.5127,,False,1,1.13e-09,3.62102959729e-10,Kepler-464 b
K00110.01,K00110.01,0.021,19.0,0.5,0.000262953,6.7854e-06,1.1454e-07,2.3403e-11,0.0005837,7.093e-05,0.0450100000003,6.31600000004e-05,0.000202984442,2.78137631e-07,1.923e-12,1.4027e-15,0.0,0.0,0.0,0.0,5.905,1.0,5.98,0.193,0.00014107,9450647,9.940672466,2.94946680096,CANDIDATE,1.0,1.0,False,False,False,False,148.50294,,False,1,0.0002,4.98143230184e-05,Kepler-465 b
K00112.01,K00112.01,0.025,34.0,0.5,1.1938e-08,8.636e-10,7.718e-11,3.261e-14,6.944e-05,1.7854e-05,1.1946e-13,2.5659e-16,2.9534e-06,2.7558e-08,1.0500268e-10,3.8281994e-13,0.0,0.0,0.0,0.0,2.904,1.0,2.89,0.199,1.7873e-05,10984090,51.07926307,2.85426994658,CANDIDATE,1.0,1.0,False,False,False,False,105.39562,,False,2,4.38e-05,1.42690364465e-05,Kepler-466 b
K00112.02,K00112.02,0.011,16.0,0.51,1.0389e-11,1.8415e-14,0.000332,3.541e-08,1.8645e-14,2.09e-16,3.95e-05,3.231e-08,0.012454,8.248e-06,1.5719e-07,9.539e-11,0.0,0.0,0.0,0.0,20.41,1.0,20.21,0.115,8.312e-06,10984090,3.709213846,1.25347977215,CANDIDATE,1.0,1.0,False,False,False,False,42.90341,,False,2,1.23e-05,2.67329093898e-06,Kepler-466 c
K00118.01,K00118.01,0.015,23.0,0.78,5.3088e-09,4.5534e-10,8.548e-06,3.219e-09,7.337e-05,2.011e-05,1.6426e-09,2.6008e-12,0.000151719,2.69374e-06,2.6574655e-10,4.270193e-12,0.0,0.0,0.0,0.0,2.218,1.0,2.19,0.215,2.2806e-05,3531558,24.99324193,2.24579520725,CANDIDATE,1.0,1.0,False,False,False,False,50.748123,,False,1,5.23e-05,1.15503691139e-05,Kepler-467 b
K00125.01,K00125.01,0.14,183.0,0.5,1.0710467e-12,6.953602e-14,3.33640056146e-20,2.23190034813e-23,1.6089e-07,3.1212e-08,4.4537495e-12,1.20841233e-14,0.00017815,9.018e-07,9.360052062e-21,2.5950141769e-23,0.0,0.0,0.0,0.0,7.041,1.0,7.01,0.073,9.332e-07,11449844,38.478757067,13.3428260043,CANDIDATE,1.0,1.0,False,False,False,False,1022.14087,,False,1,1.89e-06,6.54513016592e-07,Kepler-468 b
K00126.01,K00126.01,0.107,113.0,0.5,1.0296053e-22,1.8191965e-21,1.83298e-07,2.90343e-08,2.7206e-12,2.0273e-10,4.032e-05,2.7682e-05,6.1112e-06,2.5606e-05,9.53730771e-17,2.208834875e-16,0.0,0.0,0.0,0.0,0.04242,1.0,0.04313,0.044,5.332e-05,5897826,33.80367628,17.8985352623,CANDIDATE,1.0,1.0,False,False,False,False,1261.7847,,False,2,9.55e-05,2.65719902654e-05,Kepler-469 b
K00129.01,K00129.01,0.08,131.0,0.5,1.166600106e-15,2.188880205e-15,8.3898078137e-22,6.6850058092e-24,2.588e-05,0.0002614,7.34043e-23,6.26017e-24,1.1025008286e-09,1.2656010041e-10,1.467073e-18,1.386488e-19,0.0,0.0,0.0,0.0,0.3074,1.0,0.305,0.057,0.0002614,11974540,24.66919569,14.4376443525,CANDIDATE,1.0,1.0,False,False,False,False,487.48495,,False,1,0.000371,7.97986354659e-05,Kepler-470 b
K00131.01,K00131.01,0.076,44.0,0.5,1.355746e-10,5.585018e-12,0.0005488001839,6.700001818e-07,1.911803e-08,3.29546e-09,6.773000132e-12,3.44840006307e-14,3.64200026861e-23,2.96200020298e-25,1.023314543e-51,8.09330629e-54,0.0,0.0,0.0,0.0,5.25,1.0,5.28,0.054,6.73046e-07,7778437,5.014234575,14.9588825701,CANDIDATE,1.0,1.0,False,False,False,False,790.0224,,False,1,1.76e-06,5.08688371909e-07,Kepler-471 b
K00144.01,K00144.01,0.038,23.0,0.5,6.4649e-51,3.0108e-51,4.5063e-12,7.2105e-14,2.9531e-44,3.8326e-44,3.859e-14,2.6401e-15,0.023899,0.006011,1.52200004716e-10,2.63200008873e-11,0.0,0.0,0.00827,0.0002652,0.12484,0.9937,0.1405,0.18,0.006272,4180280,4.176255514,3.22382566192,CANDIDATE,1.0,1.0,False,False,False,False,224.03436,,False,1,0.024,0.0070335415451,Kepler-472 b
K00149.01,K00149.01,0.028,31.0,0.5,1.39870965e-25,3.47652394e-26,4.427092e-15,7.662096e-18,5.5355e-13,7.0714e-13,1.50203e-21,1.3673e-23,2.40357000019e-15,4.57153000039e-17,5.333e-10,6.847e-12,0.0,0.0,0.0,0.0,1.208,1.0,1.22,0.097,7.55409e-12,3835670,14.55731705,4.08223303611,CANDIDATE,1.0,1.0,False,False,False,False,170.37569,,False,1,1.77e-11,7.01814582484e-12,Kepler-473 b
K00155.01,K00155.01,0.026,26.0,0.5,8.2771e-48,4.5469e-49,3.1065e-10,4.905e-13,6.104499e-34,1.5803142e-34,1.34094e-11,8.52851e-14,4.0257e-06,2.7957e-08,1.98200003916e-09,1.2300000264e-11,0.0,0.0,0.0,0.0,1.181,1.0,1.17,0.181,2.7957e-08,8030148,5.660672935,3.064837101,CANDIDATE,1.0,1.0,False,False,False,False,158.64925,,False,1,1.01e-07,3.93641419032e-08,Kepler-474 b
K00161.01,K00161.01,0.029,28.0,0.5,7.746e-08,5.669e-11,4.093e-05,1.6647e-09,9.55e-09,2.949e-11,0.0001061,1.5606e-08,0.0018416,4.4886e-07,2.0652e-10,4.4922e-14,0.0,0.0,0.0,0.0,41.02,1.0,41.4,0.209,4.6591e-07,5084942,3.105508189,2.49191124429,CANDIDATE,1.0,1.0,False,False,False,False,196.40886,,False,1,1.91e-06,5.92231147535e-07,Kepler-475 b
K00162.01,K00162.01,0.026,33.0,0.5,8.0959e-08,5.0355e-09,4.01343e-06,2.73192e-09,1.10633e-05,3.25933e-06,8.13802369e-10,3.06600959e-12,0.006281,5.135e-05,2.44305655e-07,1.27302889e-09,0.0,0.0,0.0,0.0,2.872,1.0,2.846,0.187,5.463e-05,8107380,14.00640607,3.07901303578,CANDIDATE,1.0,1.0,False,False,False,False,93.01831,,False,1,0.000101,2.70159232881e-05,Kepler-476 b
