KOI|KID|Kepmag|T0|T0err|P|Perr|adrs|adrserr|rdr|rdrerr|rdrerr1|rdrerr2|Rp|Rperr|Rperr1|Rperr2|b|berr|berr1|berr2|incl|tdur|tdurerr|teff|tefferr|tefferr1|tefferr2|logg|loggerr|loggerr1|loggerr2|Mstar|Mstarerr|Mstarerr1|Mstarerr2|Rstar|Rstarerr|Rstarerr1|Rstarerr2|Age|Ageerr|asemi|Teq|Tdepth|Tdeptherr|SN|RA|DEC|limb1|limb2|limb3|limb4|rhostar|rhostarerr1|rhostarerr2|Srad|Sraderr1|Sraderr2
6252.01|1026032|13.276|133.7745603|0.0000693|8.460438368|0.000000701|14.231315|0.08912|0.482891|0.011413|+0.010517|-0.012309|37.12|5.57|+9.39|-1.74|1.0588|0.0140|+0.0142|-0.0139|85.94|4.73252|0.00365|5923|170|191|149|4.637|0.100|0.022|0.178|0.784|0.062|0.060|0.064|0.704|0.105|0.178|0.033|0|0|0.0750|800|79047.6|57.3|1882.9|19.40294|36.72927|0.2760|0.3225|0|0|0.76174|+0.00477|-0.00396|97.05|75.90|-17.43
6253.01|1293379|14.183|132.1916384|0.0786033|27.556451924|0.002927702|25.718963|9.72236|0.015347|0.001730|+0.000913|-0.002548|1.40|0.32|+0.54|-0.10|0.1438|0.2198|+0.2960|-0.1437|89.95|8.22915|1.81102|5509|173|184|162|4.565|0.146|0.024|0.268|0.937|0.083|0.078|0.089|0.836|0.192|0.322|0.061|0|0|0.1748|531|289.2|55.4|6.7|19.40760|36.99406|0.4522|0.2332|0|0|0.42381|+0.32042|-0.36390|18.86|22.40|-4.48
6254.01|1433531|11.721|436.4746011|0.0419704|567.713290570|0.028323976|311.076791|117.47821|0.015047|0.001314|+0.000808|-0.001821|3.28|1.22|+1.12|-1.32|0.4247|0.2276|+0.0307|-0.4246|89.95|12.85353|1.54751|6248|190|176|205|3.924|0.261|0.351|0.172|1.218|0.265|0.289|0.241|1.996|0.743|0.682|0.804|0|0|1.4346|325|259.4|40.7|6.6|19.44437|37.07612|0.3149|0.3036|0|0|1.76686|+1.33451|-0.82225|2.64|2.67|-1.82
6255.01|1717528|13.042|135.7783044|0.0060488|9.313920713|0.000069177|73.506268|34.27836|0.011805|0.002079|+0.003263|-0.000895|1.25|0.32|+0.53|-0.11|0.1287|0.2622|+0.3959|-0.1286|89.95|0.97149|0.24030|6032|174|153|194|4.485|0.171|0.044|0.299|1.055|0.158|0.180|0.136|0.973|0.248|0.408|0.089|0|0|0.0882|884|163.7|40.4|6.6|19.37177|37.29054|0.3510|0.2909|0|0|86.60949|+363.49933|-85.55508|144.19|176.89|-39.76
6256.01|1871483|13.444|136.6982614|0.0086683|14.137062036|0.000158350|47.475327|15.96207|0.017714|0.001576|+0.001764|-0.001387|1.37|0.16|+0.19|-0.13|0.2133|0.2315|+0.2498|-0.2133|89.95|2.26391|0.29181|4861|142|155|128|4.574|0.065|0.056|0.074|0.689|0.081|0.110|0.052|0.709|0.082|0.096|0.067|0|0|0.1010|568|393.0|58.6|7.5|19.47549|37.38848|0.5749|0.1463|0|0|10.12845|+3.40537|-7.93948|24.62|11.37|-6.47
6257.01|2012722|10.676|131.8690000|0.0158138|2.326035130|0.000031006|1.117545|0.05038|0.037922|0.015460|+0.014682|-0.016237|7.18|3.12|+5.03|-1.20|1.0076|0.0232|+0.0179|-0.0286|25.78|9.61007|0.94975|7061|219|174|264|4.146|0.250|0.106|0.394|1.535|0.289|0.331|0.248|1.735|0.752|1.214|0.290|0|0|0.0397|2059|333.7|27.7|3.2|19.40076|37.43364|0.2475|0.3389|0|0|0.00488|+0.00022|-0.00009|4249.04|9281.98|-1718.39
6258.01|2013883|9.910|131.6948801|0.0042374|0.764598174|0.000003831|5.476894|2.62457|0.003643|0.000587|+0.000791|-0.000383|0.32|0.15|+0.26|-0.04|0.0636|0.2378|+0.4121|-0.0635|89.38|1.07435|0.30570|6174|194|222|165|4.456|0.328|0.153|0.502|0.690|0.044|0.072|0.017|0.814|0.380|0.649|0.110|0|0|0.0145|2041|15.4|2.7|10.0|19.41888|37.41960|0.2972|0.2994|0|0|5.31611|+28.02278|-4.52334|4098.14|11149.21|-1347.55
6259.01|2161949|12.808|131.7101588|0.0059875|4.781116262|0.000034064|13.470509|3.85711|0.010119|0.000616|+0.000571|-0.000661|1.23|0.33|+0.45|-0.20|0.2919|0.2308|+0.1698|-0.2919|88.81|2.62493|0.18462|5683|160|163|156|4.326|0.187|0.144|0.230|0.959|0.111|0.140|0.081|1.115|0.292|0.404|0.181|0|0|0.0548|1131|122.5|12.3|10.4|19.45419|37.55587|0.4198|0.2535|0|0|2.02279|+0.57920|-0.86501|386.46|416.69|-143.86
6259.02|2161949|12.808|133.1626816|0.0131938|7.188472521|0.000114281|24.001588|10.99984|0.010201|0.000865|+0.000445|-0.001285|1.24|0.33|+0.45|-0.20|0.2447|0.2282|+0.2117|-0.2446|89.38|2.24329|0.39632|5683|160|163|156|4.326|0.187|0.144|0.230|0.959|0.111|0.140|0.081|1.115|0.292|0.404|0.181|0|0|0.0720|986|125.1|17.4|8.6|19.45419|37.55587|0.4198|0.2535|0|0|5.06179|+23.19800|-2.41066|223.87|241.39|-83.33
6260.01|2162994|12.476|132.6324006|0.0000429|4.101595215|0.000000209|7.981319|0.01312|0.588894|0.000311|+0.000253|-0.000368|51.96|13.82|+22.89|-4.76|0.3691|0.0014|+0.0012|-0.0017|87.09|6.11243|0.00262|5610|154|169|139|4.533|0.162|0.051|0.272|0.813|0.092|0.117|0.068|0.808|0.215|0.356|0.074|0|0|0.0468|1028|381819.6|194.0|535.5|19.47053|37.59205|0.3793|0.2770|0|0|0.57171|+0.00094|-0.00069|264.23|353.26|-67.00
