kepoi_name,kepid,fpp_koi_period,fpp_ror,fpp_prad,fpp_secthresh,fpp_maxrad,fpp_prob_heb,fpp_prob_ueb,fpp_prob_beb,fpp_prob_heb_dbl,fpp_prob_ueb_dbl,fpp_prob_beb_dbl,fpp_spec_occrate,fpp_prob,fpp_score,fpp_fail_reason,fpp_steff,fpp_steff_err1,fpp_steff_err2,fpp_slogg,fpp_slogg_err1,fpp_slogg_err2,fpp_smet,fpp_smet_err1,fpp_smet_err2,fpp_srad,fpp_srad_err1,fpp_srad_err2,fpp_smass,fpp_smass_err1,fpp_smass_err2,fpp_sage,fpp_sage_err1,fpp_sage_err2,fpp_dist,fpp_dist_err1,fpp_dist_err2,fpp_av,fpp_av_err1,fpp_av_err2,fpp_max_av,fpp_pr_steff_mu,fpp_pr_steff_sig,fpp_pr_slogg_mu,fpp_pr_slogg_sig,fpp_pr_smet_mu,fpp_pr_smet_sig
K00001.01,11446443,2.471,0.124,13.29,32,0.50,6.6e-06,0.0049,1.8e-11,3.8e-05,0.00016,8.4e-24,0.073,0.0051,1,,5868,57.524,-62.548,4.46,0.021,-0.024,-0.03,0.1,-0.104,0.98,0.033,-0.033,1.02,0.036,-0.046,9.45,0.174,-0.201,204,7.588,-7.362,0.11,0.048,-0.054,0.20,5820,78,4.46,0.02,-0.06,0.15
K00002.01,10666592,2.205,0.076,16.11,86,2.10,1.4e-16,4.8e-06,1.4e-131,6.2e-20,6.6e-09,7.6e-96,0.057,4.8e-06,1,,6447,55.059,-57.667,4.03,0.032,-0.032,0.13,0.107,-0.089,1.94,0.098,-0.093,1.46,0.054,-0.049,9.38,0.041,-0.053,327,16.99,-15.708,0.23,0.027,-0.043,0.27,6440,76,4.02,0.03,0.14,0.15
K00003.01,10748390,4.888,0.058,4.64,13,5.40,1.7e-26,6.3e-23,2.4e-19,2.3e-17,1.2e-20,7.2e-35,0.085,0,1,,4618,43.892,-47.456,4.61,0.007,-0.018,0.33,0.078,-0.05,0.73,0.013,-0.012,0.80,0.013,-0.014,9.27,0.377,-0.171,35,0.958,-0.86,0.25,0.057,-0.072,0.35,4778,86,4.59,0.01,0.32,0.15
K00004.01,3861595,3.849,0.040,6.00,67,0.50,1.6e-48,0.56,0.0024,7.5e-08,0.0014,1.6e-16,0.051,0.56,1,,6447,100.167,-101.768,4.25,0.082,-0.11,-0.02,0.115,-0.137,1.38,0.233,-0.151,1.25,0.103,-0.082,9.37,0.112,-0.156,352,59.573,-40.234,0.17,0.071,-0.073,0.67,6244,126,3.66,0.27,-0.16,0.20
K00005.01,8554498,4.780,0.037,7.31,15,0.50,0.00028,0.14,9.3e-06,5.1e-05,0.00065,8.3e-11,0.052,0.15,1,,6028,63.353,-64.059,4.03,0.028,-0.028,0.11,0.085,-0.064,1.81,0.095,-0.089,1.27,0.083,-0.073,9.62,0.09,-0.074,441,23.992,-22.089,0.24,0.041,-0.053,0.30,5937,83,4.01,0.03,0.16,0.10
K00006.01,3248033,1.334,0.010,1.35,11,4.00,0,2.5e-10,2.7e-56,1.1e-131,1.1e-05,7.7e-35,0.133,1.1e-05,1,,6403,90.734,-80.127,4.33,0.047,-0.056,-0.06,0.125,-0.112,1.24,0.107,-0.091,1.20,0.062,-0.064,9.25,0.156,-0.12,452,40.966,-35.746,0.08,0.064,-0.048,0.69,6178,111,4.11,0.17,0.00,0.15
K00007.01,11853905,3.214,0.024,3.97,10,0.50,0,2.1e-09,2.5e-68,9.3e-139,0.00022,1.6e-44,0.101,0.00022,1,,5899,44.337,-47.705,4.13,0.032,-0.031,0.13,0.078,-0.081,1.52,0.075,-0.069,1.12,0.066,-0.033,9.81,0.049,-0.093,482,24.736,-22.826,0.10,0.026,-0.042,0.14,5795,69,4.10,0.03,0.18,0.15
K00008.01,5903312,1.160,0.013,1.46,12,0.50,7.9e-82,2.7e-07,8.3e-07,6.4e-32,2.9e-05,9.6e-16,0.143,3e-05,1,,6007,79.391,-81.806,4.44,0.033,-0.046,-0.04,0.104,-0.114,1.03,0.065,-0.055,1.06,0.042,-0.05,9.34,0.22,-0.182,370,23.843,-21.148,0.15,0.062,-0.066,0.89,5842,105,4.43,0.07,-0.10,0.15
K00009.01,11553706,3.720,0.340,36.59,286,0.50,3.1e-192,1.1e-32,0.25,7.3e-23,0.53,0.21,0.001,1,1,,6344,83.427,-96.002,4.45,0.047,-0.052,-0.46,0.217,-0.166,0.99,0.095,-0.074,1.01,0.081,-0.054,9.24,0.212,-0.146,522,50.67,-41.97,0.20,0.026,-0.052,0.24,nan,nan,nan,nan,nan,nan
K00010.01,6922244,3.522,0.092,11.99,41,0.50,1.6e-291,8.5e-05,3.7e-05,1e-63,7.5e-07,2.7e-29,0.078,0.00012,1,,6340,59.217,-62.71,4.34,0.039,-0.041,-0.14,0.105,-0.099,1.20,0.066,-0.058,1.13,0.056,-0.045,9.42,0.14,-0.187,782,44.193,-40.573,0.20,0.015,-0.029,0.21,6225,112,4.17,0.06,-0.04,0.15
