KOI|KID|Kepmag|T0|T0err|P|Perr|adrs|adrserr|rdr|rdrerr|rdrerr1|rdrerr2|Rp|Rperr|Rperr1|Rperr2|b|berr|berr1|berr2|incl|tdur|tdurerr|teff|tefferr|tefferr1|tefferr2|logg|loggerr|loggerr1|loggerr2|Mstar|Mstarerr|Mstarerr1|Mstarerr2|Rstar|Rstarerr|Rstarerr1|Rstarerr2|Age|Ageerr|asemi|Teq|Tdepth|Tdeptherr|SN|RA|DEC|limb1|limb2|limb3|limb4|rhostar|rhostarerr1|rhostarerr2|Srad|Sraderr1|Sraderr2
1.01|11446443|9.846|122.7633008|0.0000062|2.470613385|0.000000019|8.392156|0.03134|0.123851|0.000051|+0.000025|-0.000076|12.85|0.27|+0.27|-0.27|0.8186|0.0004|+0.0003|-0.0006|84.22|1.74259|0.00089|5850|50|50|-50|4.455|0.025|0.025|-0.025|0.940|0.05|0.050|-0.05|0.950|0.020|0.020|-0.020|0|0|0.0350|1344|14186.4|46.7|6802.0|19.12056|49.31640|0.3731|0.2779|0|0|1.83176|+0.00684|-0.00441|772.22|60.74|-57.15
2.01|10666592|9.334|121.3585723|0.0000143|2.204735365|0.000000038|4.707268|0.00070|0.075408|0.000007|+0.000008|-0.000007|16.39|0.15|+0.15|-0.14|0.0010|0.0060|+0.0111|-0.0010|89.95|3.88216|0.00044|6350|80|80|-80|4.021|0.011|0.011|-0.011|1.520|0.036|0.036|-0.036|1.991|0.018|0.018|-0.018|0|0|0.0381|2025|6690.6|1.3|6714.5|19.48315|47.96952|0.3197|0.3090|0|0|0.40593|+0.00006|-0.00027|3973.70|279.95|-264.48
3.01|10748390|7.009|124.8131411|0.0000279|4.887802706|0.000000177|16.718360|0.05146|0.057989|0.000041|+0.000049|-0.000033|4.84|0.17|+0.19|-0.14|0.0260|0.0373|+0.0486|-0.0260|89.95|2.36386|0.00113|4777|92|93|-91|4.590|0.026|0.011|-0.041|0.829|0.0385|0.024|-0.053|0.765|0.026|0.030|-0.022|0|0|0.0530|801|4342.1|2.2|2207.8|19.84729|48.08085|0.6405|0.1019|0|0|3.70008|+0.01139|-0.02911|97.10|16.17|-12.29
4.01|3861595|10.195|157.5267384|0.0002690|3.849371501|0.000001304|5.463808|0.65674|0.040105|0.000374|+0.000276|-0.000471|13.10|2.66|+2.06|-3.25|0.9193|0.0065|+0.0059|-0.0071|80.21|2.66051|0.03448|6244|119.5|130|-109|3.657|0.156|0.205|-0.107|1.482|0.1665|0.137|-0.196|2.992|0.606|0.469|-0.743|0|0|0.0548|2035|1317.3|7.3|262.6|19.62377|38.94738|0.3150|0.3029|0|0|0.20824|+0.02503|-0.02017|4055.29|1837.19|-1919.87
5.01|8554498|10.212|132.9741366|0.0001516|4.780327766|0.000000876|7.463953|0.37837|0.037065|0.000195|+0.000162|-0.000227|7.07|0.17|+0.17|-0.17|0.9516|0.0017|+0.0011|-0.0023|82.51|2.03489|0.01383|5753|75|75|-75|4.003|0.011|0.011|-0.011|1.130|0.065|0.065|-0.065|1.747|0.042|0.042|-0.042|0|0|0.0577|1396|977.2|4.0|383.4|19.31598|44.64742|0.3992|0.2653|0|0|0.34423|+0.01745|-0.01355|898.71|93.85|-86.47
6.01|3248033|10.994|133.7016351|0.0004200|1.334104268|0.000000707|1.491425|0.29566|0.294016|0.156571|+0.103683|-0.209459|50.73|12.12|+13.32|-10.92|1.2741|0.1610|+0.1042|-0.2177|31.51|3.01416|0.02176|6178|118.5|104|-133|4.106|0.1635|0.175|-0.152|1.160|0.138|0.162|-0.114|1.580|0.378|0.415|-0.340|0|0|0.0250|2166|444.2|3.1|192.7|19.63997|38.36677|0.3306|0.3007|0|0|0.03526|+0.00699|-0.00941|5207.55|3668.21|-2267.49
7.01|11853905|10.804|123.6119338|0.0002799|3.213668628|0.000001122|6.326472|0.00246|0.024735|0.000109|+0.000141|-0.000076|4.14|0.11|+0.11|-0.11|0.0189|0.1083|+0.1978|-0.0188|89.95|3.99355|0.00945|5781|76|76|-76|4.105|0.01|0.010|-0.01|1.092|0.073|0.073|-0.073|1.533|0.040|0.040|-0.040|0|0|0.0439|1507|727.7|2.6|328.5|19.04102|50.13575|0.3986|0.2653|0|0|0.46381|+0.00018|-0.05710|1218.92|133.27|-122.39
8.01|5903312|11.039|121.7040568|0.0003692|1.160153243|0.000000427|4.169192|1.74900|0.018559|0.000962|+0.000246|-0.001678|2.00|0.27|+0.38|-0.16|0.7843|0.2873|+0.0178|-0.5569|79.07|1.41268|0.02499|5842|115|112|-118|4.433|0.109|0.062|-0.156|0.959|0.0655|0.062|-0.069|0.985|0.133|0.187|-0.079|0|0|0.0213|1752|368.7|19.3|201.0|19.91073|41.13789|0.3792|0.2764|0|0|1.01855|+2.56372|-0.17903|2229.29|1175.88|-491.07
9.01|11553706|11.820|135.0683330|0.0001681|3.719807963|0.000000738|4.276692|0.08918|0.070824|0.000915|+0.000899|-0.000932|7.85|2.15|+3.60|-0.70|0.9384|0.0027|+0.0028|-0.0025|77.35|3.52196|0.01379|6277|169|152|-186|4.457|0.176|0.045|-0.307|1.075|0.172|0.217|-0.127|1.015|0.278|0.465|-0.090|0|0|0.0482|1271|3749.1|15.8|587.5|19.25358|49.53079|0.3117|0.3041|0|0|0.10694|+0.00223|-0.00348|616.10|825.39|-162.42
10.01|6922244|12.292|121.1194294|0.0000464|3.522498573|0.000000194|7.674508|0.20491|0.093582|0.000157|+0.000117|-0.000198|14.83|1.25|+1.19|-1.32|0.6141|0.0077|+0.0061|-0.0094|85.37|3.19061|0.00633|6225|136|114|-158|4.169|0.0515|0.055|-0.048|1.132|0.093|0.088|-0.098|1.451|0.123|0.117|-0.129|0|0|0.0473|1521|9379.3|6.6|1801.5|18.75254|42.45108|0.3227|0.3015|0|0|0.68914|+0.01840|-0.01254|1264.67|323.37|-317.46
11.01|11913073|11.785|171.6648836|0.0007233|3.747839179|0.000003190|1.999739|0.15782|0.116023|0.096000|+0.130343|-0.061658|10.47|2.31|+3.87|-0.75|1.0751|0.1072|+0.1400|-0.0744|57.30|5.11142|0.03627|5514|147|155|-139|4.569|0.141|0.025|-0.257|0.926|0.082|0.075|-0.089|0.826|0.182|0.306|-0.059|0|0|0.0460|1031|871.7|5.8|200.6|19.40410|50.26513|0.4409|0.2405|0|0|0.01077|+0.00085|-0.00069|266.76|293.01|-59.08
