,pp_host_prob_prov,pp_1hi_starid,pp_1hi_rel_prob,pp_2rel_prob,pp_unk_rel_prob,pp_1hi_ra,pp_1hi_mod_depth,pp_2hi_starid,pp_dv_run_id,pp_host_prob_score,pp_host_prior_prob,pp_2mod_depth,pp_koi_time0bk,pp_2hi_dec,pp_koi_period,pp_1hi_prob_prov,pp_host_rel_prob,pp_bkgd_density,pp_2prob_prov,pp_1hi_dec,pp_koi_depth,pp_2hi_ra,pp_1hi_kepmag,pp_2hi_kepmag,pp_2hi_rel_prob,pp_2hi_prob_prov,pp_2hi_mod_depth,pp_1prob_prov,pp_1rel_prob,pp_1mod_depth
K00001.01,PROB,KIC 11446443,1.0,,9.885e-07,286.8085,97137.0,,q1_q17_dr24_tce,1.0,0.92,,132.6457,,2.47,KIC,1.0,2.693e-06,,49.3164,14195.0,,11.34,,,,,,,
K00002.01,FAILED,,,,,,,,q1_q17_dr24_tce,0.0,0.87,,,,,,,,,,,,,,,,,,,
K00003.01,FAILED,,,,,,,,q1_q17_dr24_tce,0.0,0.8,,,,,,,,,,,,,,,,,,,
K00004.01,PROB,KIC 3861595,1.0,,1.287e-06,294.3566,9640.0,UKIRT 44117919246215,q1_q17_dr24_tce,1.0,0.74,,134.4293,38.9476,3.85,KIC,1.0,1.103e-05,,38.9474,1270.0,294.3577,11.43,16.0,0.0,UKIRT,673793.0,,,
K00005.01,PROB,KIC 8554498,1.0,,2.272e-06,289.7397,7572.0,,q1_q17_dr24_tce,1.0,0.87,,132.9731,,4.78,KIC,1.0,4.475e-06,,44.6474,933.0,,11.66,,,,,,,
K00006.01,MATCH,,,,,,,,q1_q17_dr24_tce,1.0,0.72,,,,,,0.0,,,,,,,,,,,,,
K00007.01,PROB,KIC 11853905,1.0,,3.135e-07,285.6153,4656.0,,q1_q17_dr24_tce,1.0,0.93,,133.2531,,3.21,KIC,1.0,2.935e-06,,50.1358,733.0,,12.21,,,,,,,
K00008.01,PROB,KIC 5903301,1.0,,2.198e-05,298.6583,103581.0,KIC 5903312,q1_q17_dr24_tce,1.0,0.67,,132.1478,41.1379,1.16,KIC,0.0,1.707e-05,,41.1389,128.0,298.661,15.15,12.45,0.0,KIC,2746.0,,,
K00009.01,PROB,KIC 11553706,0.0,,1.789e-05,288.8038,29282.0,,q1_q17_dr24_tce,1.0,0.91,,135.0682,,3.72,KIC,0.0,4.379e-06,,49.5308,3618.0,,13.12,,,,,,,
K00010.01,PROB,KIC 6922244,1.0,,2.378e-07,281.2881,73917.0,,q1_q17_dr24_tce,1.0,0.93,,131.6869,,3.52,KIC,1.0,4.054e-06,,42.4511,9200.0,,13.56,,,,,,,
K00011.01,MATCH,,,,0.0009062,,,,q1_q17_dr24_tce,1.0,0.89,,134.1909,,3.75,,0.0,5.299e-06,,,645.0,,,,,,,,,
K00012.01,PROB,KIC 5812701,1.0,,4.307e-05,297.4537,72641.0,,q1_q17_dr24_tce,1.0,0.7,,146.5961,,17.86,KIC,1.0,1.347e-05,,41.011,9244.0,,11.35,,,,,,,
K00013.01,FAILED,,,,,,,,q1_q17_dr24_tce,0.0,0.91,,,,,,,,,,,,,,,,,,,
K00014.01,PROB,UKIRT 44117912637748,0.78,,0.01017,292.6117,94162.0,KIC 7684873,q1_q17_dr24_tce,0.12,0.83,,133.2158,43.3051,2.95,UKIRT,0.17,5.206e-06,,43.3051,407.0,292.6119,14.08,10.47,0.17,KIC,3390.0,,,
K00015.01,PROB,KIC 3964562,0.0,,1.482e-06,294.1434,14666.0,,q1_q17_dr24_tce,1.0,0.75,,132.2462,,3.01,KIC,0.0,1.174e-05,,39.0898,1109.0,,12.4,,,,,,,
K00016.01,MATCH,,,,1.0,,,,q1_q17_dr24_tce,1.0,0.76,,131.6565,,0.9,,0.0,1.297e-05,,,153.0,,,,,,,,,
K00017.01,PROB,KIC 10874614,1.0,,5.348e-07,296.8372,82450.0,,q1_q17_dr24_tce,1.0,0.82,,134.4253,,3.23,KIC,1.0,8.703e-06,,48.2399,10830.0,,13.3,,,,,,,
K00018.01,PROB,KIC 8191672,1.0,,9.059e-07,299.407,59680.0,,q1_q17_dr24_tce,1.0,0.71,,133.5471,,3.55,KIC,1.0,1.568e-05,,44.0351,7351.0,,13.37,,,,,,,
K00019.01,PROB,KIC 7255336,1.0,,4.693e-07,280.9438,20838.0,,q1_q17_dr24_tce,1.0,0.93,,131.5217,,1.2,KIC,1.0,2.325e-06,,42.8392,2720.0,,11.37,,,,,,,
K00020.01,PROB,KIC 11804465,1.0,,2.304e-07,286.2434,99522.0,,q1_q17_dr24_tce,1.0,0.93,,135.5054,,4.44,KIC,1.0,4.09e-06,,50.0404,16492.0,,13.44,,,,,,,
K00021.01,PROB,UKIRT 44117907047637,1.0,,4.322e-05,284.7393,315555.0,KIC 10125352,q1_q17_dr24_tce,1.0,0.93,,134.8384,47.1696,4.29,UKIRT,0.0,4.068e-06,,47.1698,3800.0,284.7386,15.75,13.4,0.0,KIC,34246.0,,,
K00022.01,PROB,KIC 9631995,1.0,,2.225e-07,282.6297,83522.0,,q1_q17_dr24_tce,1.0,0.94,,137.7928,,7.89,KIC,1.0,3.816e-06,,46.3234,10416.0,,13.44,,,,,,,
K00023.01,PROB,KIC 9071386,1.0,,1.724e-07,283.1663,116306.0,,q1_q17_dr24_tce,1.0,0.93,,132.1695,,4.69,KIC,1.0,3.008e-06,,45.4031,14381.0,,12.29,,,,,,,
K00024.01,PROB,KIC 4743508,1.0,,2.468e-06,290.8139,437543.0,KIC 4743513,q1_q17_dr24_tce,1.0,0.82,,133.4156,39.8195,2.09,KIC,0.0,8.194e-06,,39.8191,3581.0,290.8154,14.55,12.96,0.0,KIC,44745.0,,,
K00025.01,PROB,KIC 10593759,1.0,,3.001e-07,289.2616,75853.0,,q1_q17_dr24_tce,1.0,0.9,,132.8778,,3.13,KIC,1.0,5.246e-06,,47.8155,9942.0,,13.5,,,,,,,
K00026.01,PROB,KIC 5021732,1.0,,1.79e-06,294.7312,609399.0,KIC 5021737,q1_q17_dr24_tce,1.0,0.75,,144.1373,40.1503,15.04,KIC,0.0,1.107e-05,,40.1505,5872.0,294.7328,13.62,12.0,0.0,KIC,56117.0,,,
K00027.01,PROB,,,,3.403e-07,,,,q1_q17_dr24_tce,1.0,0.88,,132.651,,1.14,,1.0,5.681e-06,,,265626.0,,,,,,,,,
K00028.01,PROB,KIC 4247791,1.0,,2.947e-07,287.1648,898384.0,,q1_q17_dr24_tce,1.0,0.87,,133.289,,2.05,KIC,1.0,4.438e-06,,39.3769,99785.0,,11.26,,,,,,,
K00031.01,PROB,KIC 6956014,1.0,,8.588e-05,294.0318,2736.0,UKIRT 44117913330321,q1_q17_dr24_tce,1.0,0.79,,131.7432,42.4679,0.93,KIC,1.0,7.083e-06,,42.4688,453.0,294.034,10.79,14.01,0.0,UKIRT,215620.0,,,
