koi mass mass_lo mass_hi radius radius_lo radius_hi Teff Teff_lo Teff_hi logg logg_lo logg_hi feh feh_lo feh_hi age age_lo age_hi distance distance_lo distance_hi AV AV_lo AV_hi maxAV Teff_prior_mu Teff_prior_sig logg_prior_mu logg_prior_sig feh_prior_mu feh_prior_sig
K00001.01 0.991 0.954 1.027 0.969 0.939 0.999 5859.354 5814.193 5904.526 4.462 4.437 4.486 -0.104 -0.189 -0.023 9.544 9.341 9.687 200.785 194.107 207.470 0.082 0.036 0.131 0.196 5850 50.0 4.455 0.025 -0.15 0.1
K00002.01 1.471 1.430 1.517 1.962 1.921 2.004 6357.123 6284.110 6428.040 4.021 4.010 4.032 0.234 0.160 0.302 9.387 9.326 9.441 328.446 320.706 336.411 0.167 0.096 0.226 0.267 6350 80.0 4.021 0.011 0.26 0.08
K00003.01 0.809 0.795 0.820 0.744 0.734 0.755 4652.671 4615.816 4686.643 4.605 4.588 4.614 0.337 0.289 0.405 9.423 9.158 9.748 35.279 34.501 36.029 0.319 0.275 0.339 0.346 4777 93.0 4.59 0.011 0.32 0.1
K00004.01 1.538 1.396 1.654 2.338 1.908 2.692 6348.199 6256.107 6449.479 3.889 3.797 4.026 0.068 0.010 0.161 9.355 9.270 9.452 592.173 482.974 682.541 0.104 0.040 0.178 0.668 6244 130.0 3.657 0.205 -0.16 0.2
K00005.01 1.159 1.124 1.248 1.781 1.739 1.849 5818.674 5769.365 5870.838 4.004 3.993 4.014 0.091 0.026 0.169 9.784 9.677 9.837 430.290 419.170 447.115 0.053 0.018 0.105 0.304 5753 75.0 4.003 0.011 0.05 0.101
K00006.01 1.319 1.219 1.470 1.635 1.323 2.109 6347.307 6288.069 6412.051 4.129 3.957 4.281 0.048 -0.027 0.129 9.435 9.338 9.487 598.095 486.008 768.905 0.027 0.007 0.064 0.686 6178 104.0 4.106 0.175 0.0 0.12
K00007.01 1.113 1.084 1.197 1.552 1.521 1.606 5872.828 5826.391 5921.064 4.105 4.095 4.115 0.117 0.040 0.197 9.830 9.713 9.875 494.841 482.778 512.930 0.037 0.011 0.078 0.135 5781 76.0 4.105 0.01 0.09 0.101
K00008.01 1.047 1.004 1.086 1.029 0.976 1.092 5941.389 5874.457 6020.027 4.435 4.386 4.473 -0.028 -0.128 0.072 9.447 9.204 9.665 369.532 349.714 393.242 0.070 0.022 0.138 0.886 5842 112.0 4.433 0.062 -0.1 0.14
K00009.01 1.155 1.066 1.301 1.254 1.084 1.665 6181.167 6080.156 6318.219 4.301 4.100 4.407 0.004 -0.183 0.129 9.483 9.261 9.635 662.167 568.603 879.226 0.093 0.029 0.180 0.241 nan nan nan nan nan nan
K00010.01 1.229 1.174 1.290 1.493 1.383 1.610 6254.694 6169.199 6345.749 4.180 4.128 4.233 0.008 -0.074 0.083 9.539 9.474 9.607 980.698 908.304 1060.253 0.092 0.035 0.159 0.215 6225 114.0 4.169 0.055 -0.04 0.12
K00011.01 0.931 0.884 0.975 0.904 0.845 1.033 5540.701 5454.795 5618.406 4.500 4.370 4.550 0.022 -0.153 0.164 9.673 9.240 10.016 443.889 412.060 506.679 0.142 0.063 0.201 0.225 nan nan nan nan nan nan
K00012.01 1.575 1.395 1.756 1.938 1.539 2.500 6950.655 6689.465 7273.214 4.057 3.884 4.209 0.018 -0.156 0.158 9.150 9.075 9.256 523.366 413.956 673.172 0.272 0.114 0.441 0.865 nan nan nan nan nan nan
K00013.01 1.657 1.569 1.744 1.983 1.674 2.217 8493.012 8289.011 8660.278 4.067 3.984 4.187 -0.511 -0.615 -0.419 9.049 9.020 9.097 410.276 346.819 456.546 0.134 0.061 0.173 0.188 nan nan nan nan nan nan
K00014.01 1.585 1.460 1.691 1.784 1.547 2.096 7928.863 7739.725 8234.099 4.133 4.020 4.227 -0.360 -0.505 -0.225 9.084 9.033 9.145 431.663 375.674 506.759 0.093 0.026 0.213 0.321 nan nan nan nan nan nan
K00015.01 1.590 1.476 1.689 1.736 1.523 2.041 8219.132 8033.610 8556.717 4.159 4.047 4.246 -0.452 -0.577 -0.324 9.061 9.021 9.116 1092.251 959.950 1280.825 0.084 0.024 0.206 0.655 nan nan nan nan nan nan
K00016.01 1.604 1.491 1.741 1.786 1.544 2.247 8198.709 7624.749 8692.590 4.138 3.970 4.239 -0.427 -0.583 -0.181 9.056 9.014 9.111 1556.250 1352.542 1914.702 0.558 0.325 0.734 1.001 nan nan nan nan nan nan
K00017.01 1.053 1.005 1.125 1.293 1.212 1.385 5688.896 5617.856 5752.105 4.239 4.190 4.286 0.262 0.178 0.337 9.896 9.762 9.982 589.961 552.070 633.490 0.230 0.159 0.280 0.306 5640 99.0 4.236 0.049 0.34 0.1
K00018.01 1.356 1.304 1.412 1.764 1.652 1.887 6337.694 6232.522 6440.279 4.077 4.032 4.122 0.065 0.006 0.143 9.465 9.412 9.516 895.046 838.190 958.315 0.624 0.546 0.703 1.463 6290 105.0 4.074 0.045 0.04 0.1
K00019.01 1.227 1.171 1.300 1.341 1.216 1.568 6372.948 6309.558 6440.847 4.270 4.155 4.345 -0.010 -0.111 0.085 9.406 9.224 9.495 355.733 321.282 414.539 0.026 0.007 0.063 0.191 6218 118.0 4.198 0.157 -0.24 0.14
K00020.01 1.122 1.076 1.194 1.334 1.136 1.562 6011.170 5951.421 6083.577 4.238 4.120 4.364 0.059 -0.021 0.145 9.675 9.536 9.759 776.686 661.511 909.798 0.064 0.021 0.120 0.169 5953 105.0 4.175 0.14 0.08 0.13
